Congressperson,State,Party Affiliation,House or Senate,District,Race,Gender,Birthdate,Background,Twitter Handle
Diana DeGette,CO,D,House,1,White,F,6/29/57,Political,RepDianaDeGette
Joe Neguse,CO,D,House,2,Black,M,5/13/84,Political,RepJoeNeguse
Lauren Boebert,CO,R,House,3,White,F,12/15/86,Business,RepBoebert
Ken Buck,CO,R,House,4,White,M,2/16/59,Legal,RepKenBuck
Doug Lamborn,CO,R,House,5,White,M,5/24/54,Political,RepDLamborn
Jason Crow,CO,D,House,6,White,M,3/15/79,"Legal, Military",RepJasonCrow
Ed Perlmutter,CO,D,House,7,White,M,5/1/53,Political,RepPerlmutter
John B. Larson,CT,D,House,1,White,M,7/22/48,Political,RepJohnLarson
Joe Courtney,CT,D,House,2,White,M,4/6/53,Political,RepJoeCourtney
Rosa DeLauro,CT,D,House,3,White,F,3/2/43,Political,rosadelauro
Jim Himes,CT,D,House,4,White,M,7/5/66,Business,jahimes
Jahana Hayes,CT,D,House,5,Black,F,3/8/73,Education,RepJahanaHayes
Lisa Blunt Rochster,DE,D,House,At-Large,Black,F,2/10/62,Political,RepLBR
Matt Gaetz,FL,R,House,1,White,M,5/7/82,Political,RepMattGaetz
Neal Dunn,FL,R,House,2,White,M,2/16/53,Medical,drnealdunnfl2
Kat Cammack,FL,R,House,3,White,M,2/16/88,Political,RepKatCammack
John Rutherford,FL,R,House,4,White,M,9/2/52,Law Enforcement,RepRutherfordFL
Al Lawson,FL,D,House,5,Black,M,9/23/48,Political,RepAlLawsonJr
Michael Waltz,FL,R,House,6,White,M,1/31/74,Military,michaelgwaltz
Stephanie Murphy,FL,D,House,7,Asian,F,9/16/78,Political,RepStephMurphy
Bill Posey,FL,R,House,8,White,M,12/18/47,Political,CongBillPosey
Darren Soto,FL,D,House,9,Hispanic,M,2/25/78,Political,RepDarrenSoto
Val Demings,FL,D,House,10,Black,F,3/12/57,Law Enforcement,RepValDemings
Daniel Webster,FL,R,House,11,White,M,4/27/49,Political,RepWebster
Gus Bilirakis,FL,R,House,12,White,M,2/8/63,Political,RepGusBilirakis
Charlie Crist,FL,D,House,13,White,M,7/24/56,Political,repcharliecrist
Kathy Castor,FL,D,House,14,White,F,8/20/66,"Political, Legal",USRepKCastor
Scott Franklin,FL,R,House,15,White,M,8/23/64,Political,RepFranklin
Vern Buchanan,FL,R,House,16,White,M,5/8/51,Business,VernBuchanan
Greg Steube,FL,R,House,17,White,M,5/19/78,Political,RepGregSteube
Brian Mast,FL,R,House,18,Hispanic,M,7/10/80,Military,repbrianmast
Byron Donalds,FL,R,House,19,Black,M,10/26/78,Political,ByronDonalds
Lois Frankel,FL,D,House,21,White,F,5/16/48,Political,RepLoisFrankel
Ted Deutch,FL,D,House,22,White,M,5/7/66,Political,RepTedDeutch
Debbie Wasserman Schultz,FL,D,House,23,White,F,9/27/66,Political,RepDWStweets
Frederica Wilson,FL,D,House,24,Black,F,11/5/42,Political,RepWilson
Mario Díaz-Balart,FL,R,House,25,Hispanic,M,9/25/61,Political,MarioDB
Carlos Giménez,FL,R,House,26,Hispanic,F,1/17/54,Political,RepCarlos
Maria Elvira Salazar,FL,R,House,27,Hispanic,F,11/1/61,"Media, Business",RepMariaSalazar
Buddy Carter,GA,R,House,1,White,M,9/6/57,Political,RepBuddyCarter
Sanford Bishop,GA,D,House,2,Black,M,2/4/47,Political,SanfordBishop
Drew Ferguson,GA,R,House,3,White,M,11/15/66,Political,RepDrewFerguson
Hank Johnson,GA,D,House,4,Black,M,10/2/54,Legal,RepHankJohnson
Nikema Williams,GA,D,House,5,Black,F,7/30/78,Political,RepNikema
Lucy McBath,GA,D,House,6,Black,F,6/1/60,Political,replucymcbath
Carolyn Bourdeaux,GA,D,House,7,White,F,6/3/70,Academic,RepBourdeaux
Austin Scott,GA,R,House,8,White,M,12/10/69,Political,AustinScottGA08
Andrew Clyde,GA,R,House,9,White,M,11/22/63,Military,Rep_Clyde
Jody Hice,GA,R,House,10,White,M,4/22/60,"Media, Religious",congressmanhice
Barry Loudermilk,GA,R,House,11,White,M,12/22/63,Political,RepLoudermilk
Rick W. Allen,GA,R,House,12,White,M,11/7/51,Business,reprickallen
David Scott,GA,D,House,13,Black,M,6/27/45,Political,RepDavidScott
Marjorie Taylor Greene,GA,R,House,14,White,F,8/27/74,"Business, Political",RepMTG
Ed Case,HI,D,House,1,White,M,9/27/52,Political,RepEdCase
Kai Kahele,HI,D,House,2,"Asian, Indigenous",M,3/28/74,Political,RepKahele
Russ Fulcher,ID,R,House,1,White,M,3/9/62,Political,RepRussFulcher
Mike Simpson,ID,R,House,2,White,M,9/8/50,Political,CongMikeSimpson
Bobby Rush,IL,D,House,1,Black,M,11/23/46,Political,RepBobbyRush
Robin Kelly,IL,D,House,2,Black,F,4/30/56,Political,RepRobinKelly
Marie Newman,IL,D,House,3,White,F,4/13/64,"Business, Political",RepMarieNewman
Jesús García,IL,D,House,4,Hispanic,M,4/12/56,Political,RepChuyGarcia
Mike Quigley,IL,D,House,5,White,M,10/17/58,Political,RepMikeQuigley
Sean Casten,IL,D,House,6,White,M,11/23/71,Business,RepCasten
Danny K. Davis,IL,D,House,7,Black,M,9/6/41,Political,RepDannyDavis
Raja Krishnamoorthi,IL,D,House,8,Asian,M,7/19/73,Legal,congressmanraja
Jan Schakowsky,IL,D,House,9,White,F,5/26/44,Political,JanSchakowsky
Brad Schneider,IL,D,House,10,White,M,8/20/61,Political,repschneider
Bill Foster,IL,D,House,11,White,M,10/7/55,"Political, Business, Academic",RepBillFoster
Mike Bost,IL,R,House,12,White,M,12/30/60,Political,RepBost
Rodney Davis,IL,R,House,13,White,M,1/5/70,Political,RodneyDavis
Lauren Underwood,IL,D,House,14,Black,F,10/4/86,Medical,LaurenUnderwood
Mary Miller,IL,R,House,15,White,F,8/27/59,Agricultural,RepMaryMiller
Adam Kinzinger,IL,R,House,16,White,M,2/27/78,"Political, Military",RepKinzinger
Cheri Bustos,IL,D,House,17,White,F,10/17/61,"Political, Media, Business",RepCheri
Darin LaHod,IL,R,House,18,White,M,7/5/68,"Legal, Political",RepLaHood
Frank J. Mrvan,IN,D,House,1,White,M,4/16/69,Political,RepMrvan
Jackie Walorski,IN,R,House,2,White,F,8/17/63,Political,RepWalorski
Jim Banks,IN,R,House,3,White,M,7/16/79,Political,RepJimBanks
Jim Baird,IN,R,House,4,White,M,6/4/45,Political,RepJimBaird
Victoria Spartz,IN,R,House,5,White,F,10/6/78,Political,RepSpartz
Greg Pence,IN,R,House,6,White,M,11/14/05,Business,RepGregPence
André Carson,IN,D,House,7,Black,M,10/16/74,Political,RepAndreCarson
Larry Bucshon,IN,R,House,8,White,M,5/31/62,Medical,RepLarryBucshon
Trey Hollingsworth,IN,R,House,9,White,M,9/12/83,Business,reptrey
Ashley Hinson,IA,R,House,1,White,F,6/27/83,"Political, Media",RepAshleyHinson
Mariannette Miller-Meks,IA,R,House,2,White,F,9/6/55,"Political, Medical, Military",RepMMM
Cindy Axne,IA,D,House,3,White,F,4/20/65,Business,RepCindyAxne
Randy Feenstra,IA,R,House,4,White,M,1/14/69,Political,RepFeenstra
Tracey Mann,KS,R,House,1,White,M,12/17/76,"Political, Busiess",RepMann
Jake LaTurner,KS,R,House,2,White,M,2/17/88,Political,RepLaTurner
Sharice Davids,KS,D,House,3,Indigenous,F,5/22/80,Legal,RepDavids
Ron Estes,KS,R,House,4,White,M,7/19/56,Political,RepRonEstes
James Comer,KY,R,House,1,White,M,8/19/72,Political,Rep James Comer
Brett Guthrie,KY,R,House,2,White,M,2/18/64,Political,RepGuthrie
John Yarmuth,KY,D,House,3,White,M,11/4/47,"Media, Academic",RepJohnYarmuth
Thomas Massie,KY,R,House,4,White,M,1/13/71,Political,RepThomasMassie
Hal Rogers,KY,R,House,5,White,M,12/31/37,Legal,RepHalRogers
Andy Barr,KY,R,House,6,White,M,7/24/73,Legal,RepAndyBarr
Steve Scalise,LA,R,House,1,White,M,10/6/65,Political,SteveScalise
Troy Carter,LA,D,House,2,Black,M,10/26/63,Political,troyc4Congress
Clay Higgins,LA,R,House,3,White,M,8/24/61,Law Enforcement,RepClayHiggins
Mike Johnson,LA,R,House,4,White,M,1/30/72,Political,RepMikeJohnson
Julia Letlow,LA,R,House,5,White,F,3/16/81,Academic,jbletlow
Garret Graves,LA,R,House,6,White,M,1/31/72,Political,RepGarretGraves
Chellie Pingree,ME,D,House,1,White,F,4/2/55,Political,ChelliePingree
Jared Golden,ME,D,House,2,White,M,7/25/82,Political,repgolden
Andy Harris,MD,R,House,1,White,M,1/25/57,"Political, Medical",RepAndyHarrisMD
Dutch Ruppersberger,MD,D,House,2,White,M,1/31/46,"Legal, Political",Call_Me_Dutch
John Sarbanes,MD,D,House,3,White,M,5/22/62,Legal,RepSarbanes
Anthony G. Brown,MD,D,House,4,Black,M,11/21/61,Political,RepAnthonyBrown
Steny Hoyer,MD,D,House,5,White,M,6/14/39,Political,LeaderHoyer
David Trone,MD,D,House,6,White,M,9/21/55,Business,repdavidtrone
Kweisi Mfume,MD,D,House,7,Black,M,10/24/48,Political,RepKweisiMfume
Jamie Raskin,MD,D,House,8,White,M,12/13/62,Political,repraskin
Richard Neal,MA,D,House,1,White,M,2/14/49,Political,RepRichardNeal
Jim McGovern,MA,D,House,2,White,M,11/20/59,Political,RepMcGovern
Lori Trahan,MA,D,House,3,Hispanic,F,10/27/73,"Business, Political",RepLoriTrahan
Jake Auchincloss,MA,D,House,4,White,M,1/29/08,Political,RepAuchincloss
Katherine Clark,MA,D,House,5,White,F,7/17/63,"Political, Legal",RepKClark
Seth Moulton,MA,D,House,6,White,M,10/24/78,"Political, Business, Military",teammoulton
Ayanna Pressley,MA,D,House,7,Black,F,2/3/74,Political,RepPressley
Stephen F. Lynch,MA,D,House,8,White,M,3/31/55,Political,RepStephenLynch
Bill Keating,MA,D,House,9,White,M,9/6/52,"Political, Legal",USRepKeating
Jack Bergman,MI,R,House,1,White,M,2/2/47,Military,RepJackBergman
Bill Huizenga,MI,R,House,2,White,M,1/31/69,Political,RepHuizenga
Peter Meijer,MI,R,House,3,White,M,1/10/88,Business,Peter Meijer
John Moolenaar,MI,R,House,4,White,M,5/8/61,Political,RepMoolenaar
Dan Kildee,MI,D,House,5,White,M,8/11/58,Political,RepDanKildee
Fred Upton,MI,R,House,6,White,M,4/23/53,Political,RepFredUpton
Tim Walberg,MI,R,House,7,White,M,4/12/51,Political,RepWalberg
Elissa Slotkin,MI,D,House,8,White,F,7/10/76,Political,RepSlotkin
Andy Levin,MI,D,House,9,White,M,8/10/60,Legal,RepAndyLevin
Lisa McClain,MI,R,House,10,White,F,4/7/66,Business,RepLisaMcClain
Haley Stevens,MI,D,House,11,White,F,6/24/83,Political,RepHaleyStevens
Debbie Dingell,MI,D,House,12,White,F,11/23/56,Political,RepDebDingell
Rashida Tlaib,MI,D,House,13,White,F,7/24/76,Political,RepRashida
Brenda Lawrence,MI,D,House,14,Black,F,10/18/54,Political,RepLawrence
Jim Hagdorn,MN,R,House,1,White,M,8/4/62,Political,RepHagedorn
Angie Craig,MN,D,House,2,White,F,2/14/72,"Business, Media",RepAngieCraig
Dean Phillips,MN,D,House,3,White,M,1/20/69,Business,RepDeanPhillips
Betty McCollum,MN,D,House,4,White,F,7/12/54,Political,BettyMcCollum04
Ilhan Omar,MN,D,House,5,Black,F,10/4/82,Political,IlhanMN
Tom Emmer,MN,R,House,6,White,M,3/3/61,Political,RepTomEmmer
Michelle Fischbach,MN,R,House,7,White,F,11/3/65,Political,RepFischbach
Pete Stauber,MN,R,House,8,White,M,5/10/66,"Political, Law Enforcement",RepPeteStauber
Trent Kelly,MS,R,House,1,White,M,3/1/66,"Legal, Military",reptrentkelly
Bennie Thompson,MS,D,House,2,Black,M,1/28/48,Political,BennieGThompson
Michael Guest,MS,R,House,3,White,M,2/4/70,Legal,RepMichaelGuest
Steven Palazzo,MS,R,House,4,White,M,2/21/70,Political,CongPalazzo
Cori Bush,MO,D,House,1,Black,F,7/21/76,"Medical, Religious, Political",RepCori
Ann Wagner,MO,R,House,2,White,F,9/13/62,Political,RepAnnWagner
Bline Luetkemeyer,MO,R,House,3,White,M,5/7/52,Political,RepBlaine
Vicky Hartzler,MO,R,House,4,White,F,10/13/60,Political,RepHartzler
Emanuel Cleaver,MO,D,House,5,Black,M,10/26/44,"Political, Religious, Media",RepCleaver
Sam Graves,MO,R,House,6,White,M,11/7/63,Political,RepSamGraves
Billy Long,MO,R,House,7,White,M,8/11/55,Business,USRepLong
Jason Smith,MO,R,House,8,White,M,6/16/80,Political,RepJasonSmith
Matt Rosendale,MT,R,House,At-Large,White,M,7/7/60,Political,RepRosendale
Jeff Fortenberry,NE,R,House,1,White,M,12/27/60,"Political, Business",JeffFortenberry
Don Bacon,NE,R,House,2,White,M,8/16/63,Military,repdonbacon
Adrian Smith,NE,R,House,3,White,M,12/19/70,Political,RepAdrianSmith
Dina Titus,NV,D,House,1,White,F,5/23/50,Political,RepDinaTitus
Mark Amodei,NV,R,House,2,White,M,6/12/58,Political,MarkAmodeiNV2
Susie Lee,NV,D,House,3,White,F,11/7/66,"Political, Education",RepSusieLee
Steven Horsford,NV,D,House,4,Black,M,4/29/73,Political,RepHorsford
Chris Pappas,NH,D,House,1,White,M,6/4/80,Political,RepChrisPappas
Ann McLane Kuster,NH,D,House,2,White,F,9/5/56,"Legal, Political",RepAnnieKuster
Donald Norcross,NJ,D,House,1,White,M,12/13/58,Political,DonaldNorcross
Jeff Van Drew,NJ,R,House,2,White,M,2/23/53,Political,None?
Andy Kim,NJ,D,House,3,Asian,M,7/12/82,Political,RepAndyKimNJ
Chris Smith,NJ,R,House,4,White,M,3/4/53,Business,None?
Josh Gottheimer,NJ,D,House,5,White,M,3/8/75,"Legal, Political",RepJoshG
Frank Pallone,NJ,D,House,6,White,M,10/30/51,Political,FrankPallone
Tom Malinowski,NJ,D,House,7,White,M,10/23/65,Political,RepMalinowski
Albio Sires,NJ,D,House,8,Hispanic,M,1/26/51,Political,RepSires
Bill Passcrell,NJ,D,House,9,White,M,1/25/37,Political,BillPascrell
Donald Payne Jr.,NJ,D,House,10,Black,M,12/17/58,Political,RepDonaldPayne
Mikie Sherrill,NJ,D,House,11,White,F,1/19/72,"Legal, Military",RepSherrill
Bonnie Watson Coleman,NJ,D,House,12,Black,F,2/6/45,Political,RepBonnie
Yvette Herrell,NM,R,House,2,Indigenous,F,3/16/64,Political,RepHerrell
Teresa Leger Fernandez,NM,D,House,3,White,F,7/1/59,Political,RepTeresaLF
Lee Zeldin,NY,R,House,1,White,M,1/30/80,Political,RepLeeZeldin
Andrew Garbarino,NY,R,House,2,White,M,9/27/84,Political,RepGarbarino
Thomas Suozzi,NY,D,House,3,White,M,8/31/62,Political,RepTomSuozzi
Kathleen Rice,NY,D,House,4,White,F,2/15/65,Legal,RepKathleenRice
Gregory Meeks,NY,D,House,5,Black,M,9/25/53,Political,RepGregoryMeeks
Grace Meng,NY,D,House,6,Asian,F,10/1/75,Political,RepGraceMeng
Nydia Valázquez,NY,D,House,7,Hispanic,F,3/28/53,Political,NydiaVelazquez
Hakeem Jeffries,NY,D,House,8,Black,M,8/4/70,Political,RepJeffries
Yvette Clark,NY,D,House,9,Black,F,11/21/64,Political,RepYvetteClarke
Jerry Nadler,NY,D,House,10,White,M,6/13/04,Political,RepJerryNadler
Nicole Malliotakis,NY,R,House,11,Hispanic,F,11/11/80,Political,RepMalliotakis
Carolyn Maloney,NY,D,House,12,White,F,2/19/46,Political,RepMaloney
Adriano Espaillat,NY,D,House,13,Hispanic,M,9/27/54,Political,RepEspaillat
Alexandria Ocasio-Cortez,NY,D,House,14,Hispanic,F,10/13/89,Political,RepAOC
Ritchie Torres,NY,D,House,15,"Hispanic, Black",M,3/12/88,Political,RepRitchie
Jamaal Bowman,NY,D,House,16,Black,M,4/1/76,Education,RepBowman
Mondaire Jones,NY,D,House,17,Black,M,5/18/88,Legal,RepMondaire
Sean Patrick Maloney,NY,D,House,18,White,M,4/1/76,Legal,RepSeanMaloney
Antonio Delgado,NY,D,House,19,"Black,Hispanic",M,5/18/87,Legal,repdelgado
Paul Tonko,NY,D,House,20,White,M,7/30/66,Political,RepPaulTonko
Elise Stefanik,NY,R,House,21,White,F,1/28/77,Political,RepStefanik
Claudia Tenney,NY,R,House,22,White,F,6/18/49,Political,RepTenney
Tom Reed,NY,R,House,23,White,M,7/2/84,Political,TomReedCongress
John Katko,NY,R,House,24,White,M,11/9/62,Legal,RepJohnKatko
Joseph Morelle,NY,D,House,25,White,M,4/29/57,Political,RepJoeMorelle
Brian Higgins,NY,D,House,26,White,M,10/6/59,Political,RepBrianHiggins
Chris Jacobs,NY,R,House,27,White,M,11/28/66,Political,RepJacobs
G. K. Butterfield,NC,D,House,1,White,M,4/27/47,Legal,GKButterfield
Deborah Ross,NC,D,House,2,White,F,6/20/63,Political,RepDeborahRoss
Greg Murphy,NC,R,House,3,White,M,3/5/63,Political,RepGregMurphy
David Price,NC,D,House,4,White,M,8/17/40,"Political, Academic",RepDavidEPrice
Virginia Foxx,NC,R,House,5,White,F,6/29/43,Political,VirginiaFoxx
Kathy Manning,NC,D,House,6,White,F,12/3/56,Legal,RepKManning
David Rouzer,NC,R,House,7,White,M,2/16/72,Political,RepDavidRouzer
Richard Hudson,NC,R,House,8,White,M,11/4/71,Business,RepRichHudson
Dan Bishop,NC,R,House,9,White,M,7/1/64,Political,RepDanBishop
Patrick McHenry,NC,R,House,10,White,M,10/22/75,Political,PatrickMcHenry
Madison Cawthorn,NC,R,House,11,White,M,8/1/95,Political,CawthornforNC
Alma Adams,NC,D,House,12,Black,F,5/27/46,Political,RepAdams
Ted Budd,NC,R,House,13,White,M,10/21/71,Business,RepTedBudd
Kelly Armstrong,ND,R,House,At-Large,White,M,10/8/76,Political,RepArmstrongND
Steve Chabot,OH,R,House,1,White,M,1/22/53,Political,RepSteveChabot
Brad Wenstrup,OH,R,House,2,White,M,6/17/58,Medical,RepBradWenstrup
Joyce Beatty,OH,D,House,3,Black,F,3/12/50,Political,RepBeatty
Jim Jordan,OH,R,House,4,White,M,2/17/64,Political,Jim_Jordan
Bob Latta,OH,R,House,5,White,M,4/18/56,Political,BobLatta
Bill Johnson,OH,R,House,6,White,M,11/10/54,Military,RepBillJohnson
Bob Gibbs,OH,R,House,7,White,M,6/14/54,Political,RepBobGibbs
Warren Davidson,OH,R,House,8,White,M,3/1/70,Business,WarrenDavidson
Marcy Kaptur,OH,D,House,9,White,F,6/17/46,Political,RepMarcyKaptur
Mike Turner,OH,R,House,10,White,M,1/11/60,Political,RepMikeTurner
Troy Balderson,OH,R,House,12,White,M,1/16/62,Political,RepBalderson
Tim Ryan,OH,D,House,13,White,M,7/16/73,Political,RepTimRyan
David Joyce,OH,R,House,14,White,M,3/17/57,Legal,RepDaveJoyce
Anthony Gonzalez,OH,R,House,16,Hispanic,M,9/18/84,Business,RepAGonzalez
Kevin Hern,OK,R,House,1,White,M,12/4/61,Business,repkevinhern
Markwayne Mullin,OK,R,House,2,Indigenous,M,7/26/77,Business,RepMullin
Frank Lucas,OK,R,House,3,White,M,1/6/60,Political,RepFrankLucas
Tom Cole,OK,R,House,4,Indigenous,M,4/28/49,"Political, Academic",TomColeOK04
Stephanie Bice,OK,R,House,5,White,F,11/11/73,Political,RepBice
Suzanne Bonamici,OR,D,House,1,White,F,10/14/54,Political,RepBonamici
Cliff Bentz,OR,R,House,2,White,M,1/12/52,Political,RepBentz
Earl Blumenauer,OR,D,House,3,White,M,8/16/48,Political,BlumenauerMedia
Peter Defazio,OR,D,House,4,White,M,5/27/47,Political,RepPeterDeFazio
Kurt Schrader,OR,D,House,5,White,M,10/19/51,"Medical, Political",RepSchrader
Brian Fitzpatrick,PA,R,House,1,White,M,12/17/73,"Legal, Law Enforcement",repbrianfitz
Brendan Boyle,PA,D,House,2,White,M,2/6/77,Political,CongBoyle
Dwight Evans,PA,D,House,3,Black,M,5/16/54,Political,RepDwightEvans
Madeleine Deane,PA,D,House,4,White,F,6/6/59,Political,RepDean
Mary Gay Scanlon,PA,D,House,5,White,F,8/30/59,Legal,RepMGS
Chrissy Houlahan,PA,D,House,6,White,F,6/5/67,"Business, Military",RepHoulahan
Susan Wild,PA,D,House,7,White,F,6/7/57,Political,RepSusanWid
Matt Cartwright,PA,D,House,8,White,M,5/1/61,Legal,RepCartwright
Dan Meuser,PA,R,House,9,White,M,2/10/64,Political,RepMeuser
Scott Perry,PA,R,House,10,White,M,5/27/62,"Political, Business, Military",RepScottPerry
Lloyd Smucker,PA,R,House,11,White,M,1/23/64,Political,RepSmucker
Fred Keller,PA,R,House,12,White,M,10/23/65,Political,RepFredKeller
John Joyce,PA,R,House,13,White,M,2/8/57,Medical,RepJohnJoyce
Guy Reschenthaler,PA,R,House,14,White,M,4/17/83,"Political, Legal, Military",GReschenthaler
Glenn Thompson,PA,R,House,15,White,M,7/27/59,Political,CongressmanGT
Mike Kelly,PA,R,House,15,White,M,5/10/48,Political,MikeKellyPA
Conor Lamb,PA,D,House,16,White,M,6/27/84,"Legal, Military",RepConorLamb
Mike Doyle,PA,D,House,17,White,M,8/5/53,Political,USRepMikeDoyle
David Cicilline,RI,D,House,1,White,M,7/15/61,Political,RepCicilline
James Langevin,RI,D,House,2,White,M,4/22/64,Political,JimLangevin
Nancy Mace,SC,R,House,1,White,M,12/4/77,Political,RepNancyMace
Joe Wilson,SC,R,House,2,White,M,7/31/47,Political,RepJoeWilson
Jeff Duncan,SC,R,House,3,White,M,1/7/66,Political,RepJeffDuncan
William Timmons,SC,R,House,4,White,M,4/30/84,"Legal, Business",RepTimmons
