:START_ID(Tweet),:END_ID(Brand-ca),:TYPE,Specification
2554,U.S. Marine Corps,references,
2560,U.S. Marine Corps,references,
2572,REI,references,
2590,American Diabetes Association,references,
2591,Goodyear,references,
2595,U.S. Marine Corps,references,
2606,Veterans of Foreign Wars,references,
2619,Twitter,references,
2623,U.S. Marine Corps,references,
2632,U.S. Marine Corps,references,
2665,U.S. Marine Corps,references,
2671,U.S. Marine Corps,references,
2672,U.S. Marine Corps,references,
2676,U.S. Marine Corps,references,
2682,U.S. Marine Corps,references,
2703,U.S. Marine Corps,references,
2715,Concerned Veterans for America,references,
2720,U.S. Marine Corps,references,
2726,U.S. Marine Corps,references,
2732,U.S. Marine Corps,references,
2737,U.S. Marine Corps,references,
2758,Pfizer,references,
2758,Pfizer,references,
2759,Pfizer,references,
2759,Pfizer,references,
2763,NASA,references,NASA
2763,Harvard University,references,Harvard University
2773,Twitter,references,
2779,Pfizer,references,
2779,Pfizer,references,
2791,Pfizer,references,
2791,Pfizer,references,
2791,Twitter,references,
2794,Pfizer,references,
2794,Pfizer,references,
2805,Twitter,references,
2820,Twitter,references,
2825,Fox News,references,Fox News
2839,Credit Cards,references,
2841,Credit Cards,references,
2861,U.S. Marine Corps,references,
2887,Fox News,references,Fox News
2888,U.S. Marine Corps,references,
2889,Fox News,references,Fox News
2891,FOX Business,references,FOX Business
2893,Fox News,references,Fox News
2900,U.S. Marine Corps,references,
2914,U.S. Marine Corps,references,
2916,Veterans of Foreign Wars,references,
2920,U.S. Marine Corps,references,
2928,United Nations,references,Global conversation about the United Nations and all related efforts.
2943,McNeil-PPC,references, Inc
2977,U.S. Marine Corps,references,
2984,Countdown,references,
2992,Chick-fil-A,references,
2999,The Daily Beast,references,
3016,The American Legion,references,
3023,FOX Business,references,FOX Business
3053,U.S. Marine Corps,references,
3061,U.S. Marine Corps,references,
3089,The American Legion,references,
3091,Aposto!,references,
3093,U.S. Marine Corps,references,
3112,U.S. Marine Corps,references,
3114,CNBC,references,CNBC
3130,REI,references,
3136,U.S. Marine Corps,references,
3148,U.S. Marine Corps,references,
3166,U.S. Marine Corps,references,
3186,NBC News,references,NBC News
3197,U.S. Marine Corps,references,
3208,U.S. Marine Corps,references,
3234,U.S. Marine Corps,references,
3285,U.S. Marine Corps,references,
3299,U.S. Marine Corps,references,
3319,The Washington Post,references,
3373,U.S. Marine Corps,references,
3423,Twitter,references,
3425,Twitter,references,
3426,Twitter,references,
3427,Twitter,references,
3428,Twitter,references,
3432,The New Yorker,references,The New Yorker
3432,Twitter,references,
3439,Netflix,references,
3439,Hulu,references,
3439,Twitter,references,
3445,U.S. Marine Corps,references,
3448,U.S. Marine Corps,references,
3454,U.S. Marine Corps,references,
3474,Twitter,references,
3475,MSNBC,references,
3526,U.S. Marine Corps,references,
3549,U.S. Marine Corps,references,
3575,U.S. Marine Corps,references,
3588,U.S. Marine Corps,references,
3605,U.S. Marine Corps,references,
3615,SAS,references,
3623,U.S. Marine Corps,references,
3624,U.S. Marine Corps,references,
3641,U.S. Marine Corps,references,
3669,U.S. Marine Corps,references,
3683,U.S. Marine Corps,references,
3691,U.S. Marine Corps,references,
3760,U.S. Marine Corps,references,
3768,The American Legion,references,
3778,Veterans of Foreign Wars,references,
3779,The American Legion,references,
3804,YMCA,references,
3814,U.S. Marine Corps,references,
3867,FOX Business,references,FOX Business
3869,The Hill,references,The Hill
3872,Fox News,references,Fox News
3878,U.S. Marine Corps,references,
3888,U.S. Marine Corps,references,
3903,U.S. Marine Corps,references,
3912,Fox News,references,Fox News
3913,The American Legion,references,
3915,The American Legion,references,
3957,U.S. Marine Corps,references,
3971,Aposto!,references,
3972,Aposto!,references,
3978,U.S. Marine Corps,references,
3983,U.S. Marine Corps,references,
3987,FOX Business,references,FOX Business
4004,U.S. Marine Corps,references,
4006,Veterans of Foreign Wars,references,
4016,FOX & friends,references,FOX & friends
4020,U.S. Marine Corps,references,
4074,CNN,references,
4078,CNN,references,
4088,U.S. Marine Corps,references,
4091,Aposto!,references,
4098,U.S. Marine Corps,references,
4101,Bloomberg,references,News from Bloomberg LP (not Mike Bloomberg)
4124,U.S. Marine Corps,references,
4140,U.S. Marine Corps,references,
4148,U.S. Marine Corps,references,
4180,U.S. Marine Corps,references,
4197,U.S. Marine Corps,references,
4198,Energy.gov,references,Energy.gov
4214,Chevron,references,
4214,ExxonMobil,references,
4214,BP,references,
4214,Chevron,references,
4214,Shell,references,
4214,Exxon,references,
4214,Mobil,references,
4224,Aposto!,references,
4233,U.S. Marine Corps,references,
4235,U.S. Marine Corps,references,
4247,CBS,references,
4247,CBS News,references,
4250,ACLU,references,American Civil Liberties Union
4265,U.S. Marine Corps,references,
4284,Countdown,references,
4292,Sunrise Senior Living,references,
4294,U.S. Marine Corps,references,
4295,USA Today,references,
4308,U.S. Marine Corps,references,
4309,United States Postal Service,references,
4311,U.S. Marine Corps,references,
4330,The American Legion,references,
4342,U.S. Marine Corps,references,
4348,U.S. Marine Corps,references,
4374,U.S. Marine Corps,references,
4381,U.S. Marine Corps,references,
4398,U.S. Marine Corps,references,
4438,U.S. Marine Corps,references,
4448,The Associated Press,references,
4456,Aposto!,references,
4460,U.S. Marine Corps,references,
4468,U.S. Marine Corps,references,
4472,Tim Hortons,references,
4472,Tim Hortons,references,
4483,U.S. Marine Corps,references,
4490,U.S. Marine Corps,references,
4501,U.S. Marine Corps,references,
4510,U.S. Marine Corps,references,
4525,U.S. Marine Corps,references,
4534,U.S. Marine Corps,references,
4574,U.S. Marine Corps,references,
4578,NASA,references,NASA
4580,United States Postal Service,references,
4596,U.S. Marine Corps,references,
4602,TikTok,references,
4602,Slate,references,
4602,Twitter,references,
4635,ABC News,references,ABC News
4644,Goldman Sachs,references,
4644,Morgan Stanley,references,
4646,CBS,references,
4646,CBS News,references,
4651,Twitter,references,
4658,Avon,references,
4683,World Food Programme,references,
4716,U.S. Marine Corps,references,
4756,NOAA,references,
4763,Twitter,references,
4799,Twitter,references,
4820,Budweiser,references,
4820,Budweiser,references,
4823,U.S. Marine Corps,references,
4841,U.S. Marine Corps,references,
4856,U.S. Marine Corps,references,
4865,Fox News,references,Fox News
4900,U.S. Marine Corps,references,
4913,U.S. Marine Corps,references,
4938,U.S. Marine Corps,references,
4940,World Food Programme,references,
4953,U.S. Marine Corps,references,
4988,U.S. Marine Corps,references,
5003,ESPN,references,
5005,ESPN,references,
5021,The Washington Post,references,
5021,Twitter,references,
5024,Twitter,references,
5027,Twitter,references,
5028,Massachusetts Bay Transportation Authority,references,Massachusetts Bay Transportation Authority
5057,U.S. Marine Corps,references,
5095,U.S. Marine Corps,references,
5112,Shell,references,
5113,Chevron,references,
5113,Chevron,references,
5124,Sure,references,
5140,NBC News,references,NBC News
5143,MSNBC,references,
5144,MSNBC,references,
5145,Fox News,references,Fox News
5151,Harley Davidson,references,
5162,U.S. Marine Corps,references,
5166,Bloomberg,references,
5169,NASA,references,NASA
5182,U.S. Marine Corps,references,
5210,ESPN,references,
5215,U.S. Marine Corps,references,
5238,Albertsons,references,
5239,U.S. Marine Corps,references,
5251,United Nations,references,Global conversation about the United Nations and all related efforts.
5260,U.S. Marine Corps,references,
5261,U.S. Marine Corps,references,
5267,FOX Business,references,FOX Business
5269,U.S. Marine Corps,references,
5277,Aposto!,references,
5278,FOX Business,references,FOX Business
5280,U.S. Marine Corps,references,
5280,NFL,references,
5288,The American Legion,references,
5289,Reuters,references,Reuters
5291,U.S. Marine Corps,references,
5302,Target,references,
5305,U.S. Marine Corps,references,
5307,NOAA,references,
5367,National Guard,references,
5371,Veterans of Foreign Wars,references,
5384,The New York Times,references,
5415,Women in tech,references,
5440,NBC News,references,NBC News
5450,NASA,references,NASA
5463,U.S. Marine Corps,references,
5491,ExxonMobil,references,
5491,Exxon,references,
5491,Mobil,references,
5508,United States Postal Service,references,
5514,USAID,references,
5555,HP,references,
5556,NBA,references,
5596,Hasbro,references,
5635,Coca-Cola,references,
5651,Fox News,references,Fox News
5654,NBC News,references,NBC News
5656,MSNBC,references,
5663,Fox News,references,Fox News
5667,U.S. Marine Corps,references,
5678,U.S. Marine Corps,references,
5687,Valero,references,
5699,U.S. Marine Corps,references,
5712,TikTok,references,
5712,Bytedance,references,
5733,Fox News,references,Fox News
5737,U.S. Marine Corps,references,
5745,CNN,references,
5749,Credit Cards,references,
5749,Wells Fargo,references,
5755,Energy.gov,references,Energy.gov
5764,TikTok,references,
5764,United Nations,references,Global conversation about the United Nations and all related efforts.
5773,The Wall Street Journal,references,
5774,Twitter,references,
5782,The Wall Street Journal,references,
5786,The Wall Street Journal,references,
5788,The Hill,references,The Hill
5794,The New York Times,references,
5795,Fox News,references,Fox News
5798,The Hill,references,The Hill
5799,The Hill,references,The Hill
5805,The Hill,references,The Hill
5812,Fox News,references,Fox News
5825,The Wall Street Journal,references,
5835,The Wall Street Journal,references,
5837,The Wall Street Journal,references,
5838,The Wall Street Journal,references,
5842,The Washington Post,references,
5861,U.S. Marine Corps,references,
5866,Credit Cards,references,
5875,Harvard University,references,Harvard University
5908,U.S. Marine Corps,references,
5916,United States Postal Service,references,
5929,Veterans of Foreign Wars,references,
5992,Kroger,references,
6011,Kroger,references,
6012,Kroger,references,
6013,U.S. Marine Corps,references,
6020,The American Legion,references,
6033,Binance,references,
