:START_ID(Tweet),:END_ID(Local News-ca),:TYPE,Specification
1421,Philadelphia,references,
1422,Philadelphia,references,
1423,Philadelphia,references,
1424,Philadelphia,references,
1425,Philadelphia,references,
1426,Philadelphia,references,
1427,Philadelphia,references,
1428,Philadelphia,references,
1429,Philadelphia,references,
1430,Philadelphia,references,
1431,Philadelphia,references,
1432,Philadelphia,references,
1433,Philadelphia,references,
1434,Philadelphia,references,
1435,Philadelphia,references,
1436,Philadelphia,references,
1437,Philadelphia,references,
1438,Philadelphia,references,
1439,Philadelphia,references,
1440,Philadelphia,references,
1441,Philadelphia,references,
1442,Philadelphia,references,
1443,Philadelphia,references,
1444,Philadelphia,references,
1445,Philadelphia,references,
1446,Philadelphia,references,
1447,Philadelphia,references,
1448,Philadelphia,references,
1449,Philadelphia,references,
1450,Philadelphia,references,
1451,Philadelphia,references,
1452,Philadelphia,references,
1453,Philadelphia,references,
1454,Philadelphia,references,
1455,Philadelphia,references,
1456,Philadelphia,references,
1457,Philadelphia,references,
1458,Philadelphia,references,
1459,Philadelphia,references,
1461,Philadelphia,references,
1462,Philadelphia,references,
1463,Philadelphia,references,
1991,Buffalo,references,
1992,Buffalo,references,
1993,Buffalo,references,
1994,Buffalo,references,
1995,Buffalo,references,
1996,Buffalo,references,
1997,Buffalo,references,
1998,Buffalo,references,
1999,Buffalo,references,
2000,Buffalo,references,
2001,Buffalo,references,
2002,Buffalo,references,
2003,Buffalo,references,
2004,Buffalo,references,
2005,Buffalo,references,
2006,Buffalo,references,
2007,Buffalo,references,
2008,Buffalo,references,
2009,Buffalo,references,
2010,Buffalo,references,
2011,Buffalo,references,
2012,Buffalo,references,
2013,Buffalo,references,
2014,Buffalo,references,
2015,Buffalo,references,
2016,Buffalo,references,
2017,Buffalo,references,
2250,Texas,references,
2392,Washington State,references,
2394,Washington State,references,
2398,Washington State,references,
2513,Rhode Island,references,
2514,Rhode Island,references,
2515,Rhode Island,references,
2516,Rhode Island,references,
2517,Rhode Island,references,
2518,Rhode Island,references,
2519,Rhode Island,references,
2522,Washington State,references,
2581,Nevada,references,
2681,Virginia,references,
2885,Texas,references,
2894,Texas,references,
2916,Minnesota,references,
2923,Minnesota,references,
2929,Minnesota,references,
3067,Wisconsin,references,
3068,Wisconsin,references,
3069,Wisconsin,references,
3070,Wisconsin,references,
3071,Wisconsin,references,
3072,Wisconsin,references,
3073,Wisconsin,references,
3074,Wisconsin,references,
3075,Wisconsin,references,
3076,Wisconsin,references,
3077,Wisconsin,references,
3078,Wisconsin,references,
3079,Wisconsin,references,
3080,Wisconsin,references,
3081,Wisconsin,references,
3082,Wisconsin,references,
3083,Wisconsin,references,
3084,Wisconsin,references,
3085,Wisconsin,references,
3086,Wisconsin,references,
3087,Wisconsin,references,
3120,Florida,references,
3125,Florida,references,
3126,Florida,references,
3482,Wisconsin,references,
3483,Wisconsin,references,
3484,Wisconsin,references,
3485,Wisconsin,references,
3486,Wisconsin,references,
3487,Wisconsin,references,
3488,Wisconsin,references,
3489,Wisconsin,references,
3490,Wisconsin,references,
3491,Wisconsin,references,
3516,North Carolina,references,
3517,North Carolina,references,
3518,North Carolina,references,
3519,North Carolina,references,
3829,Washington State,references,
3842,Washington State,references,
3843,Washington State,references,
3905,Virginia,references,
3928,California,references,
3929,California,references,
4189,Las Vegas,references,
4190,Las Vegas,references,
4191,Las Vegas,references,
4191,Nevada,references,
4192,Las Vegas,references,
4193,Las Vegas,references,
4194,Las Vegas,references,
4194,Nevada,references,
4195,Las Vegas,references,
4196,Las Vegas,references,
4197,Las Vegas,references,
4198,Las Vegas,references,
4199,Las Vegas,references,
4199,Nevada,references,
4200,Las Vegas,references,
4201,Las Vegas,references,
4202,Las Vegas,references,
4203,Las Vegas,references,
4204,Las Vegas,references,
4205,Las Vegas,references,
4206,Las Vegas,references,
4207,Las Vegas,references,
4207,Nevada,references,
4208,Las Vegas,references,
4209,Las Vegas,references,
4209,Nevada,references,
4210,Las Vegas,references,
4211,Las Vegas,references,
4332,Texas,references,
4333,Texas,references,
4448,Florida,references,
4451,Florida,references,
4455,Florida,references,
4532,Arizona,references,
4533,Arizona,references,
4534,Arizona,references,
4535,Arizona,references,
4536,Arizona,references,
4537,Arizona,references,
4538,Arizona,references,
4540,California,references,
4542,California,references,
4543,California,references,
4545,California,references,
4702,Florida,references,
4707,Florida,references,
4709,Florida,references,
4719,Florida,references,
4724,Florida,references,
4725,Florida,references,
4726,Florida,references,
4728,Florida,references,
4731,Florida,references,
4741,Florida,references,
4745,Florida,references,
4748,Florida,references,
4749,Florida,references,
4751,Florida,references,
4752,Florida,references,
4754,Florida,references,
4757,Florida,references,
4759,Florida,references,
4760,Florida,references,
5123,Minnesota,references,
5124,Minnesota,references,
5173,Mississippi,references,
5174,Mississippi,references,
5175,Mississippi,references,
5176,Mississippi,references,
5177,Mississippi,references,
5178,Mississippi,references,
5179,Mississippi,references,
5180,Mississippi,references,
5181,Mississippi,references,
5182,Mississippi,references,
5183,Mississippi,references,
5184,Mississippi,references,
5185,Mississippi,references,
5186,Mississippi,references,
5187,Mississippi,references,
5189,Mississippi,references,
5190,Mississippi,references,
5191,Mississippi,references,
5192,Mississippi,references,
5193,Mississippi,references,
5194,Mississippi,references,
5195,Mississippi,references,
5196,Mississippi,references,
5197,Mississippi,references,
5198,Mississippi,references,
5199,Mississippi,references,
5200,Mississippi,references,
5201,Mississippi,references,
5202,Mississippi,references,
5203,Mississippi,references,
5204,Mississippi,references,
5205,Mississippi,references,
5206,Mississippi,references,
5207,Mississippi,references,
5208,Mississippi,references,
5557,Portland,references,
5591,Rhode Island,references,
5592,Rhode Island,references,
5593,Rhode Island,references,
5594,Rhode Island,references,
5595,Rhode Island,references,
5596,Rhode Island,references,
5597,Rhode Island,references,
5598,Rhode Island,references,
5599,Rhode Island,references,
5600,Rhode Island,references,
5601,Rhode Island,references,
5602,Rhode Island,references,
5603,Rhode Island,references,
5604,Rhode Island,references,
5605,Rhode Island,references,
5606,Rhode Island,references,
5607,Rhode Island,references,
5608,Rhode Island,references,
5609,Rhode Island,references,
5610,Rhode Island,references,
5762,Texas,references,
5780,Texas,references,
5791,Texas,references,
5809,Texas,references,
5811,Texas,references,
5814,Texas,references,
5830,Texas,references,
5846,Texas,references,
5864,Texas,references,
5877,Texas,references,
5892,Virginia,references,
5896,Virginia,references,
5897,Virginia,references,
5898,Virginia,references,
5899,Virginia,references,
5900,Virginia,references,
5901,Virginia,references,
5907,Virginia,references,
5915,Virginia,references,
5942,Seattle,references,
5942,Washington State,references,
5943,Seattle,references,
5944,Seattle,references,
5944,Washington State,references,
5945,Seattle,references,
5946,Seattle,references,
5946,Washington State,references,
5947,Seattle,references,
5947,Washington State,references,
5948,Seattle,references,
5948,Washington State,references,
5949,Seattle,references,
5950,Seattle,references,
5951,Seattle,references,
5952,Seattle,references,
5953,Seattle,references,
5954,Seattle,references,
5955,Seattle,references,
5956,Seattle,references,
5956,Washington State,references,
5957,Seattle,references,
5958,Seattle,references,
5958,Washington State,references,
5959,Seattle,references,
5960,Seattle,references,
5961,Seattle,references,
5961,Washington State,references,
5962,Seattle,references,
5962,Washington State,references,
5963,Seattle,references,
5964,Seattle,references,
5964,Washington State,references,
5965,Seattle,references,
5966,Seattle,references,
5967,Seattle,references,
5968,Seattle,references,
5968,Washington State,references,
5969,Wisconsin,references,
5970,Wisconsin,references,
5971,Wisconsin,references,
5972,Wisconsin,references,
5973,Wisconsin,references,
5974,Wisconsin,references,
5975,Wisconsin,references,
5976,Wisconsin,references,
5977,Wisconsin,references,
5978,Wisconsin,references,
5979,Wisconsin,references,
