:START_ID(Tweet),:END_ID(Organization),:TYPE
1013,US House Transportation,references
1017,Kansas,references
1027,Congress,references
1027, #FinTe,references
1038,KYC,references
1041,Democrats,references
1061,Astros,references
1062,Ravens,references
1072,LIHEAP,references
1090,Congress,references
1100,Congress,references
1102,Congress,references
1105,Security,references
1112,Democrats,references
1119,Forces,references
1121,TBS,references
1121,US Marines,references
1124,Florida Department of Emergency Management,references
1143,Congress,references
1148,Democrats,references
1149,Democrats,references
1152,Wolverines,references
1152,Rutgers Scarlet Knights,references
1152,GoBlue,references
1160,Congress,references
1160,IRS,references
1161,GOP,references
1161,IRS,references
1175,Congress,references
1176,Congress,references
1180,Florida Legislature,references
1181,Congress,references
1181,House of Representatives,references
1195,Congress,references
1200,United States,references
1201,Congress,references
1203,OPEC,references
1204,Congress,references
1205,OPEC,references
1206,Biden Administration,references
1207,White House,references
1209,Biden Administration,references
1210,Department of Energy,references
1212,Biden,references
1217,Federal Highway Administration,references
1221,EPA,references
1222,Department,references
1223,EPA,references
1224,EPA,references
1234,MSNBC,references
1235,NEPA,references
1236,Interior Department,references
1240,Congress,references
1243,Congress,references
1244,Strategic Petroleum Reserve,references
1245,Army Corps of Engineers,references
1246,SEC,references
1247,SEC,references
1250,EPA,references
1252,Biden,references
1255,FERC,references
1257,Federal Reserve,references
1258,Energy Corps,references
1259,EPA,references
1260,EPA,references
1260,Office of Civil Rights,references
1266,FTC,references
1267,HUD,references
1273,Bureau of Land Management,references
1274,Biden Administration,references
1275,EPA,references
1277,NEPA,references
1279,Department of Education’,references
1280,NASA,references
1280,FAA,references
1282,OPEC,references
1284,DOE,references
1295,Blaine High School,references
1322,Congressional Youth Advisory Council,references
1322,CYAC,references
1326,Congress,references
1326,PACTAct,references
1329,Congress,references
1331,PPP,references
1336,Democratic Congress,references
1338,Congreso,references
1338,Congreso,references
1354,Congress,references
1355,Congreso,references
1356,Congress,references
1358,Congress,references
1370,Estudiantes,references
1378,Harris Administration,references
1381,TCJA,references
1382,Democrats,references
1383,CBP,references
1384,Democrats,references
1384,CBP,references
1385,United States Armed Forces,references
1396,Congress,references
1399,Democrats,references
1404,Gov,references
1417,Democrats,references
1448,PA,references
1471,Congress,references
1476,Democrats,references
1476,Democrats,references
1485,Congress,references
1488,Republican Congress,references
1493,Congress,references
1495,Winona,references
1496,United,references
1496,Marine Corps,references
1502,MN Retailers Association,references
1505,Congress,references
1511,Bucks,references
1521,United States Marine Corps,references
1523,Democrats,references
1524,Dems,references
1530,Astros,references
1531,TX07,references
1532,Houstonian,references
1544,Congress,references
1545,TX34,references
1553,Democrats,references
1556,TX,references
1568,Marine Corps,references
1573,DHS,references
1576,Congress,references
1577,GOP,references
1577,Congress,references
1578,McFailure,references
1588,Taliban,references
1589,United Patriotic Society,references
1592,Wisconsinites,references
1594,CCP,references
1595,U.S. Army,references
1604,GOP,references
1606,Congress,references
1610,Democrats,references
1629,CBP,references
1637,Bridgeport Elementary School,references
1641,Congress,references
1641,Congress,references
1643,Democrats,references
1651,Marine Corps,references
1666,WorldSeries,references
1667,Senate,references
1667,DACA,references
1667,Congress,references
1669,Congress,references
1671,Congress,references
1672,DACA,references
1672,Congress,references
1674,Big,references
1680,Congress,references
1680,DACA,references
1687,Biden Administration,references
1687,ort,references
1715,White Memorial Medical Center,references
1720,CityOfChamps,references
1720,LAFC,references
1720,MLSCup,references
1720,ForLosAngeles,references
1723,Congress,references
1728,U.S. Navy Aircraft Carrier Month,references
1731,Spurs,references
1731,Spurs,references
1735,Congress,references
1735,Congress,references
1735,TX23,references
1736,TX23,references
1736,Congress,references
1740,House Democrats,references
1742,U.S.,references
1742,Department of Health and Human Services,references
1743,Congress,references
1744,House Democrats,references
1750,South Texans,references
1755,Cartels,references
1759,IOOS,references
1759,Congress,references
1761,Congreso 118,references
1762,Congreso,references
1769,Social Security Administration,references
1770,Republican,references
1778,INS,references
1793,AAPI,references
1794,Communist Party,references
1797,Korea Chamber of Commerce and Industry,references
1825,NDAA,references
1830,Democrats,references
1832,Democrats,references
1847,DCCC,references
1851,Democrats,references
1856,Conservative Republican,references
1859,Republican,references
1861,Republican,references
1863,Republican,references
1877,MTG,references
1878,Democrats,references
1893,CNN,references
1893,Democrats,references
1896,Democrats,references
1903,BLM,references
1904,BLM,references
1905,Congress,references
1905,FDA,references
1906,Congress,references
1912,Congress,references
1919,Big,references
1924,ICE,references
1925,Congress,references
1930,Congress,references
1937,Forces,references
1938,United States Marine Corps,references
1960,Congress,references
1967,Democrats,references
1969,Waterbury Veterans Memorial Committee,references
1979,Congress,references
1994,Buffalo VA Medical Center,references
1997,WNY Veterans,references
1998,WNY,references
2000,ACA,references
2002,US,references
2003,US Army,references
2003,SGT,references
2004,US Army,references
2004,SSG,references
2005,US Army,references
2005,Berlin,references
2005,Reisch,references
2006,US,references
2007,WNY,references
2009,Department of Veteran Affairs,references
2009,VA Medical,references
2010,US Army,references
2011,Infantry,references
2012,US Navy,references
2013,WNY,references
2014,ACA,references
2018,USDA,references
2024,Democrats,references
2024,Federal Reserve,references
2024,Fed,references
2031,Austin,references
2044,South Dakota State,references
2044,Panthers,references
2061,Services,references
2068,Congress,references
2076,Congress,references
2076,House Democrats,references
2081,Congress,references
2081,House,references
2083,Democrats,references
2085,House Democrats,references
2085,Congress,references
2086,GSA,references
2086,FBI Headquarters,references
2095,ncwx,references
2097,House,references
2100,House of Representatives,references
2109,House,references
2110,Bloomberg,references
2117,Republican,references
2125,Democrats,references
2126,TX13,references
2128,of Defense,references
2144,Congress,references
2161,Houston Astros,references
2161,Astros,references
2161,Astros World Series,references
2162,Astros,references
2163,Astros,references
2163,Houston Astros,references
2164,Astros,references
2164,Major League Baseball,references
2164,World Series,references
2165,Houston Astros,references
2165,Astros,references
2166,Astros,references
2167,Houston Astros,references
2167,Astros,references
2168,Astros,references
2169,Astros,references
2169,Major League Baseball,references
2169,World Series,references
2170,Astros,references
2171,Astros,references
2171,World Series,references
2171,MLB Champions,references
2171,Houston Astros,references
2174,Wall of Honor,references
2175,Grossmont College’,references
2177,Marines,references
2180,Democrats,references
2182,Democrats,references
2188,MAGA,references
2189,US Army,references
2194,Democrats,references
2196,Democrats,references
2198,SDOT,references
2201,Congress,references
2208,Ingraham High School,references
2210,Big,references
2211,SPD,references
2219,Democrats,references
2223,House Republican,references
2223,Democrats,references
2226,MAGA,references
2228,House,references
2237,House,references
2244,Congress,references
2253,Congress,references
2268,ACA,references
2277,Big,references
2280,Democrats,references
2292,Democrats,references
2304,Big Tech,references
2307,Congress,references
2311,United States Marines,references
2321,MCTAB,references
2336,of,references
2336,Foreign Affairs Committee,references
2340,Department of Foreign,references
2341,Department of Foreign,references
2342,Taoiseach,references
2346,Central PA Chamber of Commerce,references
2346,Congress,references
2355,Democrats,references
2356,House,references
2375,Big,references
2382,Congress,references
2386,Congress,references
2407,United States Marine Corps,references
2411,Lawrenceville School,references
2413,Medicare,references
2434,Brea,references
2445,Congress,references
2446,Congress,references
2446,Democrats,references
2446,Big Pharma,references
2447,LIHEAP,references
2468,Congress,references
2469,Granite State,references
2470,United States Marine Corps,references
2474,Madison County Mayor,references
2477,Democrats,references
2478,Biden,references
2483,IRS,references
2483,IRS,references
2483,IRS,references
2487,United States Marine Corps,references
2501,ULA,references
2509,BNAFairnessAct,references
2511,Democrats,references
2511,Democrats,references
2527,Edmonds College,references
2537,Parkway Middle School,references
2542,Bowling Green,references
2542,OH,references
2554,United States Marine Corps,references
2565,National Weather Service,references
2573,SFOPS,references
2584,Congress,references
2585,Congress,references
2594,U.S. Air Force,references
2594,Sonoran Technology,references
2595,Marine Corps League,references
2601,Democrats,references
2602,Democrats,references
2615,Big,references
2623,CA49,references
2625,Congress,references
2630,Air Force,references
2631,Force,references
2635,Congress,references
2635,House of Representatives,references
2652,Democrats,references
2660,Democrats,references
2662,House,references
2666,Congress,references
2674,CPI,references
2675,CPI,references
2679,SBLC,references
2679,SBA,references
2697,SRA,references
2700,CPI,references
2707,Congress,references
2715,SRA,references
2730,CPI,references
2731,MPV,references
2731,HHS,references
2740,Congress,references
2741,Congress,references
2742,Congress,references
2743,Democrats,references
2743,Congress,references
2743,Medicare,references
2744,GOP,references
2749,NC,references
2759,Pfizer,references
2761,Liberty,references
2763,CDC,references
2763,NASA,references
2763,Harvard Professor,references
2776,Democrats,references
2782,Air,references
2789,House,references
2790,CIA,references
2791,Pfizer,references
2794,Pfizer,references
2811,CDC,references
2813,Fed,references
2816,CDC,references
2818,IRS,references
2818,Democrats,references
2830,Army Corps,references
2831,FPUA,references
2835,Strategic Petroleum Reserve,references
2847,IRA,references
2848,ACA,references
2854,House,references
2857,Congress,references
2859,House of Representatives,references
2862,House,references
2870,Biden,references
2885,Greater Austin Crime Commission,references
2890,Congress,references
2900,United,references
2900,Marine Corps,references
2903,Democrats,references
2911,Republican,references
2932,IRS,references
2943,Veterans Inc.,references
2944,Riders,references
2951,Democrats,references
2954,Congress,references
2962,Democrats,references
2964,Democrats,references
2968,MAGA,references
2968,Big Pharma,references
2969,Democrats,references
2969,MAGA,references
2971,SEC,references
2971,Congress,references
2973,NC10,references
2973,Congress,references
2978,Congress,references
2979,GOTV,references
2982,ACA,references
2982,Congress,references
2992,Chick-fil-,references
2997,IRA,references
3004,RDS,references
3020,House Republicans,references
3021,Congress,references
3026,Congress,references
3028,Marylanders,references
3030,National Guard,references
3032,House,references
3042,FBI,references
3055,Republican Congress,references
3062,Dauphin Junior High School,references
3073,Congress,references
3080,Democrats,references
3084,Democrats,references
3091,Congress,references
3101,Big Pharma,references
3129,REI,references
3129,REI,references
3155,Democrat Party,references
3156,FBI,references
3161,Houston Astros,references
3162,Houston Astros,references
3163,House Democrats,references
3172,House Democrat,references
3176,Highlands Middle School,references
3179,1u,references
3187,Big Pharma,references
3195,Democrats,references
3200,Congress,references
3200,DCStatehood,references
3203,Congress,references
3204,NPS,references
3208,United States Marine Corps,references
3214,Congress,references
3221,Apple,references
3237,IRS,references
3239,IRS,references
3240,IRS,references
3256,Republican,references
3267,Congress,references
3271,GoRU,references
3271,CHOP,references
3291,NPS,references
3294,Congress,references
3299,United States Marine Corps,references
3319,IRS,references
3321,NJ,references
3321,10,references
3321,Congress,references
3331,Democrats,references
3332,Democrats,references
3332,Congress,references
3333,Democrats,references
3333,Congress,references
3335,Congress,references
3336,Democrats,references
3336,Congress,references
3341,Democrats,references
3341,Congress,references
3342,Democrats,references
3342,Congress,references
3343,Democrats,references
3343,Congress,references
3344,Democrats,references
3344,Congress,references
3345,Democrats,references
3345,Congress,references
3346,Democrats,references
3346,Congress,references
3347,Democrats,references
3347,Congress,references
3348,Democrats,references
3348,Congress,references
3349,Democrats,references
3349,Congress,references
3350,Democrats,references
3350,Congress,references
3351,Democrats,references
3351,Congress,references
3352,Democrats,references
3352,Congress,references
3353,Democrats,references
3353,Congress,references
3354,Democrats,references
3354,Congress,references
3355,Democrats,references
3355,Congress,references
3356,Democrats,references
3356,Congress,references
3357,Democrats,references
3357,Congress,references
3358,Democrats,references
3358,Congress,references
3359,Democrats,references
3359,Congress,references
3360,Democrats,references
3360,Congress,references
3361,Congress,references
3361,Congress,references
3362,Congress,references
3362,Congress,references
3372,IRS,references
3374,Irvington High School,references
3376,NJ-10,references
3376,Congress,references
3378,Republican,references
3378,Congress,references
3382,Congress,references
3382,Big Pharma,references
3388,Biden Administration,references
3390,Department of Education,references
3393,Congress,references
3402,Democratic Congress,references
3406,United States Congress,references
3408,Biden Administration,references
3412,Democrats,references
3419,Democratic Congress,references
3420,Congress,references
3427,FTC,references
3439,hulu,references
3439,netflix,references
3445,Congress,references
3447,Congress,references
3452,Navy,references
3453,Congress,references
3455,Cal State San Marcos,references
3469,Congress,references
3470,Congress,references
3478,Democrats,references
3479,University of Michigan,references
3486,Democrats,references
3488,Democrats,references
3490,Congress,references
3514,Women’s Health Protection Act,references
3525,VA Medical Center,references
3527,Nazis,references
3538,VA,references
3545,Democrats,references
3547,New Deal,references
3547,Democrat Party,references
3548,Navy,references
3549,United States Marine Corps,references
3554,Democrats,references
3555,Democrats,references
3555,IRS,references
3555,Democrats,references
3555,IRS,references
3558,Philadelphia City Council,references
3560,FBI,references
3565,Democrats,references
3566,Republican,references
3566,Democrats,references
3569,Democrats,references
3577,Democrats,references
3582,House Democrats,references
3583,Democrats,references
3597,Senate,references
3600,FFA,references
3600,MOU,references
3600,Wilson Central,references
3600,FFA,references
3601,SEC,references
3601,SEC,references
3604,Congress,references
3604,Affairs,references
3606,FEMA,references
3607,Congress,references
3612,St. David,references
3612,school,references
3619,NC,references
3664,Congress,references
3673,Congress,references
3675,Black Civil War Veterans,references
3676,Congress,references
3686,ACA,references
3687,Commonwealth Election Commission,references
3702,Marylanders,references
3705,FBI,references
3708,Democrats,references
3708,OPEC,references
3712,Biden,references
3714,Democrats,references
3721,PA-05,references
3732,Democrats,references
3737,GOTV,references
3754,EPA,references
3761,Georgians,references
3761,Congress,references
3762,Congressional,references
3762,Congress,references
3773,Democrats,references
3776,Biden Administration,references
3782,Chamber of Commerce,references
3783,Congress,references
3783,AIM,references
3784,Archbishop Walsh High School,references
3792,Selma High School,references
3799,Congress,references
3808,U.S. Navy,references
3822,ISU,references
3822,BSU,references
3822,UofI,references
3824,Bengals,references
3840,Ingraham High School,references
3848,House,references
3849,VMS,references
3849,VMS,references
3852,Democrats,references
3854,Democrats,references
3856,IRS,references
3858,Washington Democrats,references
3859,Democrats,references
3860,Democrats,references
3863,Democrats,references
3869,Congress,references
3870,Washington Democrats,references
3874,Democrats,references
3875,United States Armed Forces,references
3878,United States Marine Corps,references
3880,Lancaster County Association of Township Supervisors,references
3885,GWOT,references
3900,Virginia Veterans,references
3900,Congress,references
3909,Congress,references
3909,Democrats,references
3909,Congress,references
3912,Biden Administration,references
3918,U.S. Navy,references
3925,Congress,references
3935,Congress,references
3938,Congress,references
3940,Congress,references
3941,Congress,references
3947,Congress,references
3948,Congress,references
3961,USFWS,references
3968,Congress,references
3973,Congress,references
3988,Democrats,references
3991,House Democrats,references
3992,House,references
4002,House of Representatives,references
4002,Congress,references
4010,Christian Life School,references
4011,American Association of Engineers,references
4015,Department of Homeland Security,references
4016,Congress,references
4018,Congress,references
4027,FBI,references
4027,Democrats,references
4028,FEMA,references
4029,FEMA,references
4034,Congress,references
4035,George Washington University,references
4044,Democrats,references
4061,GOP,references
4062,DC City Council,references
4079,Congress,references
4079,Congress,references
4080,Democrats,references
4087, Affairs,references
4092,PFC,references
4096,Congress,references
4096,American Energy,references
4097,Democrats,references
4098,United,references
4098,Marine Corps,references
4100,of State,references
4101,Bloomberg,references
4101,Hochul,references
4108,SCOTUS,references
4108,NYSRPA V,references
4112,Dems,references
4112,Congress,references
4115,Congress,references
4118,Albany Dems,references
4124,United States Marine Corps,references
4126,Congress,references
4128,Congress,references
4132,Jackson State University Women’s,references
4132,tigers,references
4135,Department of Education,references
4140,United States Marine Corps,references
4144,Army Airborne School,references
4149,Santa Rosa High School,references
4161,American Rescue Plan,references
4164,Congress,references
4167,World Wine Trade Group,references
4170,Congress,references
4174,Security,references
4187,Democrats,references
4193,USAF,references
4197,United States Marine Corps,references
4198,Department,references
4199,Task Force,references
4209,PACT,references
4210,FAA,references
4214,Big,references
4216,United States Congress,references
4223,Congress,references
4224,Democrats,references
4228,TPS,references
4232,Congress,references
4240,Central American Network for Democracy Act,references
4253,ARPA,references
4255,Congress,references
4269,Democrats,references
4281,LIHEAP,references
4297,World War II,references
4300,Congress,references
4302,Security,references
4317,Department of Education,references
4319,TX24,references
4322,TX24,references
4325,CA51,references
4329,SCOTUS,references
4332,Texas,references
4347,MilConVA,references
4351,House Republican,references
4351,Democrats,references
4355,Democrats,references
4356, in Cong,references
4372,Medicare,references
4374,USMC,references
4378,Houston Astros,references
4386,Floridians,references
4397,VIPAct,references
4399,Congress,references
4403,Congress,references
4411,Lehigh University,references
4421,Congress,references
4421,Congress,references
4425,Congress,references
4432,Congress,references
4434,HBCUmade,references
4440,House,references
4446,Congress,references
4449,Congress,references
4467,Color Guard,references
4469,BNAFairnessAct,references
4472,Air Force,references
4491,Gold Star,references
4497,Senate Democrats,references
4497,Democrats,references
4499,Democrats,references
4506,World War II,references
4511,Shelton State Community College,references
4514,Congress,references
4536,Congress,references
4550,Medicare,references
4554,MLSCup,references
4557,Coloradans,references
4559,Coloradans,references
4560,STAR,references
4563,CTC,references
4563,EITC,references
4564,Medicare,references
4565,Security,references
4588,National Veterans Council,references
4588,Legal Redress,references
4593,Sacred Heart University,references
4599,Indian Cultural Center,references
4606,CCM,references
4610,Mexico,references
4612,AI,references
4612,AI,references
4614,Homeland Security,references
4618,Democrats,references
4618,Democrats,references
4621,CCM,references
4646,Republicans,references
4646,Congress,references
4649,Congress,references
4650,GOTV,references
4654,United States Senate,references
4657,CD5,references
4657,American Federation of,references
4659,Democrats,references
4659,Republican,references
4661,Steelers,references
4665,State,references
4665,Congress,references
4671,PACT,references
4686,GOP,references
4697,Democrat,references
4699,Democrats,references
4700,PPP,references
4702,RedWave,references
4710,Democrats,references
4711,World War II,references
4738,Democrats,references
4767,PSI,references
4774,Internet,references
4820,World Cup,references
4824,Georgians,references
4831,GA,references
4847,Republicans,references
4855,FBI,references
4855,ATF,references
4867,Federal Reserve,references
4868,Democrats,references
4871,Democrats,references
4887,DSM,references
4903,Idaho National Guard,references
4903,SW,references
4914,Republican,references
4931,Hoosier,references
4936,World War,references
4937,’,references
4943,National Institute for,references
4946,Kansas National Guard,references
4947,Department,references
4949,Moderna,references
4952,Ministry of Truth,references
4954,Liberty,references
4957,Republican,references
4957,Congress,references
4968,RedW,references
4978,Kentucky,references
4978,GOTV,references
4986,Northwestern,references
4990,Senate,references
4993,Democrats,references
4996,Senate Democrats,references
5004,Tigers,references
5010,AAC,references
5028,MBTA,references
5028,Red Line,references
5028,MBTA,references
5031,Lawrence Public Schools,references
5032,Lawrence High School,references
5034,Congress,references
5040,ICWA,references
5042,Democrats,references
5043,Democrats,references
5048,Democrats,references
5051,National Parks,references
5051,National Parks,references
5053,Naval Academy,references
5054,Congress,references
5058,Nazis,references
5062,Marylanders,references
5074,Maryland State Board of Elections,references
5087,Marylanders,references
5096,Gold Star,references
5107,Senate Agriculture Committee,references
5108,Congress,references
5112,Shell,references
5113,Chevron,references
5130,Republican,references
5131,Congress,references
5131,GASenate,references
5138,Washington Republicanism,references
5140,Senate,references
5145,FoxNews,references
5148,Missouri,references
5152,Conservatives,references
5163,United States Marines,references
5187,New Albany Middle School,references
5190,NDAA,references
5192,Democrats,references
5196,Congress,references
5198,Democrats,references
5202,Air Force,references
5202,World War II,references
5202,Air Force,references
5204,Democrats,references
5207,Democrats,references
5216,Democrats,references
5217,Navy,references
5217,Congress,references
5218,MT,references
5223,Washington State,references
5224,Democrats,references
5227,United States Senate,references
5227,Democrats,references
5229,Lockwood High School,references
5232,KTVQ,references
5232,Veterans’,references
5236,Congress,references
5236,Gold Star,references
5240,Big Sandy High School,references
5251,United Nations High,references
5253,of National Defense,references
5255,Department of Defense,references
5263,Democrats,references
5269,Second Continental Congress,references
5271,Biden Administration,references
5274,Democrats,references
5278,Senate,references
5286,St. Joseph’s Catholic School,references
5289,Reuters,references
5289,API,references
5300,Congress,references
5300,Congress,references
5304,Taliban,references
5304,Taliban,references
5325,Congress,references
5329,Democrats,references
5331,Democrats,references
5337,Democrats,references
5337,Democrats,references
5356,City Council,references
5360,Democrats,references
5366,Democrats,references
5367,Air Force,references
5367,Force,references
5367,Guard,references
5367,Guard,references
5394,Congress,references
5394,Congress,references
5405,Air Force,references
5409,Congress,references
5416,Congress,references
5417,AAPI,references
5436,BillsMafia,references
5443,MAGA,references
5444,Democrats,references
5444,MAGA,references
5451,Democrats,references
5452,GoBucks,references
5464,School of Aviation Studies,references
5464,OK,references
5480,Democrats,references
5484,Congress,references
5487,Gold Star,references
5492,Congress,references
5508,USPS,references
5573,Congress,references
5577,Democrats,references
5587,FTX,references
5588,Congress,references
5588,DST,references
5593,Brown University,references
5599,RIC,references
5605,Alfred Lima School,references
5607,RI,references
5611,IRA,references
5611,EPA,references
5612,FedSoc,references
5612,FedSoc,references
5619,Democratic Congress,references
5632,UN SecGen,references
5633,Congress,references
5640,US Navy,references
5643,Republican Senate,references
5644,Republican,references
5644,Citizens United,references
5645,Republican Senate,references
5651,NVSen,references
5651,AZSen,references
5651,GASen,references
5653,Democrats,references
5662,WALKER,references
5662,Georgia,references
5663,Congress,references
5668,Congress,references
5669,Democrats,references
5672,Democrats,references
5678,United States Marine Corps,references
5683,SDSU,references
5686,SDSU,references
5696,Taliban,references
5699,Marines,references
5710,Democrats,references
5717,Democrats,references
5734,Biden,references
5735,AAA,references
5737,United States Marine Corps,references
5743,Federal Reserve Bank of Dallas,references
5744,Energy Information Administration,references
5745,CNN,references
5748,Border Patrol,references
5749,Dems,references
5753,Democrats,references
5756,Department of Justice,references
5757,CBP,references
5770,National Security,references
5778,Central Powers,references
5795,Georgia Senate,references
5795,FoxNews,references
5808,Border Patrol,references
5810,TX23,references
5815,TX23,references
5825,Federal Trade Commission,references
5825,Commission,references
5833,NDAA,references
5835,Congress,references
5839,Democrats,references
5842,WaPo,references
5846,Phillies,references
5848,PRC,references
5869,Democrat Party,references
5873,Democrats,references
5875,Harvard College,references
5875,University of North Carolina,references
5877,Houston Astros,references
5878,D.C.,references
5881,Congress,references
5885,Congress,references
5891,Virginia Democrats,references
5892,Democrats,references
5892,Virginia House of Representatives delegation,references
5892,Democrats,references
5902,GOTV,references
5913,Security,references
5916,USPS,references
5932,Beta Technologies,references
5935,BETA,references
5936,BETA,references
5941,Veterans,references
5949,Ingraham High School,references
5959,EIA,references
5962,Ingraham High School,references
5967,Democrats,references
5968,Medicare,references
5979,Democrats,references
5983,GOP,references
5987,WeAreMarshall,references
5994,WVU,references
6000,NRG,references
6001,South Charleston High School,references
6003,TMI,references
6011,Kroger,references
6023,Democrats,references
6030,EPA,references
6031,Congress,references
