:START_ID(Tweet),:END_ID(Other),:TYPE
763,Rhode Islanders,references
779,FTC Act,references
779,FTC,references
780,Woonsocket Senior Center,references
783,Observance,references
785,Rhode Islanders,references
786,Equity Business Hub,references
806,Flatbush,references
817,Veteran’s,references
818,FirstGenWeek,references
819,Biden,references
819,Bipartisan Infrastructure,references
820,COVID,references
820,COVID,references
823,Biden,references
830,COVID,references
832,Transparency,references
837,Day,references
841,Consumer Price Index,references
843,Modine Manufacturing,references
843,Modine,references
852,Black,references
852,WWII,references
855,Inflati,references
867,Day,references
874,Earth,references
884,Vol,references
895,French,references
895,MTP,references
900,Election Day,references
900,Election2022,references
901,Day,references
902,The Guardian,references
904,Lottery,references
905,Tennessee Lottery,references
905,GoogleAlerts,references
922,Cmte,references
927,InFocus,references
930,Keystone XL Pipeline,references
935,Hetch Hetchy,references
937,Assemblymember,references
937,International Agri-Center Heritage Complex,references
937,AgVentures,references
938,American Legion Post 177,references
938,Veteran’s Day,references
939,Jill,references
940,VA11,references
942,Red Wave,references
943,VA11,references
947,Day,references
957,B.F. Sisk Dam Safety,references
957,Bipartisan,references
958,Gurupurab,references
962,COVID19,references
963,Election2022,references
966,FluSeason,references
967,Enfield Veterans Day Parade,references
968,Infrastructure,references
972,Day,references
973,Infrastructure Development Grant,references
973,Mohawk Northeast,references
974,Mann,references
976,Ekonk Community Grange,references
978,CT,references
978,State Grange,references
978,Agricultural Advocate,references
979,Day,references
980,Day,references
983,Day,references
984,ACA,references
987,Cold War,references
989,Littleton Post,references
989,WWII,references
989,Coloradans,references
991,Coloradan,references
992,Pine Ridge Elementary,references
992,Infinity Middle School,references
992,Day,references
993,Veterans,references
993,Retired Enlisted Association,references
995,Exxon,references
996,Crow,references
997,JFS,references
998,28,references
1000,Caleb Turner,references
1003,Conservative Climate Caucus,references
1004,Earth,references
1006,Earth,references
1007,COP27,references
1009,VeteransDay,references
1013,BipartisanInfrastructureLaw,references
1018,Advocate for American Business,references
1019,Flint Hills Trail,references
1020,Kansans,references
1021,Roberts,references
1024,SoundMoney,references
1024,CBDC,references
1028,FakeNews,references
1028,Twitter,references
1031,Token Taxonomy Act,references
1033,Token Taxonomy Act,references
1036,SoundMoney,references
1037,SoundMoney,references
1047,Socialism,references
1048,Danny K. Davis,references
1050,BMO Harris New Markets,references
1050,Mimi LeClair,references
1050,Elizabeth Lockhart,references
1064,RTD,references
1064,Denverites,references
1065,Day,references
1077,CHIPSAct,references
1077,Medical Device Summit,references
1079,Snohomish Co,references
1080,Derek Sandison,references
1080,Dave Somers,references
1080,Agriculture,references
1080,Focus on Farming Conference,references
1082,AmericanRescuePlan,references
1085,Dan Rankin,references
1087,Defender,references
1087,ChildTaxCredit,references
1091,Redmond Central Connector Trail,references
1094,Tropical Storm Nicole,references
1094,The Citizen,references
1094,Line,references
1095,Tropical Storm Nicole,references
1096,Tropical Storm Nicole,references
1097,Tropical Storm Nicole,references
1098,Inflation Reduction Act,references
1099,Sandbags,references
1099,Christmas,references
1099,Road,references
1099,Drive,references
1102,Amendment,references
1104,Subtropical Storm Nicole,references
1109,Big Tobacco,references
1110,cancer,references
1112,Clearway Energy Financial Partners Conference,references
1113,Contra Costa,references
1122,Nicole,references
1123,Veteran,references
1126,Nicole,references
1127,FEMA,references
1127,TropicalStormNicole,references
1129,FB,references
1131,TropicalStormNicole,references
1132,TropicalStormNicole,references
1133,Tropical,references
1133,Nicole,references
1133,Nicole,references
1134,TropicalStormNicole,references
1147,ElectionDay,references
1151,GoVote,references
1154,East Austin Lions Club Flag,references
1162,Lizeth Chacón,references
1162,Emily Timm,references
1172,Medicare,references
1174,COVID,references
1174,COVID,references
1177,Blueprint,references
1177,Innovation,references
1180,Bean,references
1184,TropicalStormNicole,references
1188,VeteransDay,references
1189,Chris Deluzio,references
1189,John Fetterman,references
1189,Josh Shapiro,references
1191,Clemson Downs Veterans Day,references
1192,CommitmenttoAmerica,references
1193,Nuclear,references
1204,Inflation Reduction Act,references
1210,SPR,references
1215,Reduction Act,references
1229,Green New Deal,references
1235,National Environmental Policy Act,references
1239,Energy,references
1239,Management,references
1248,Court of Appeals,references
1248,Cost,references
1249,Gas Infrastructure Project,references
1251,Natural,references
1253,Ozone Transport Proposed,references
1263,Build,references
1263,Better Bill,references
1264,Build,references
1264,Bill,references
1265,Build,references
1265,Outer Continental,references
1271,Methane,references
1272,ESG,references
1275,USDA,references
1275,Green New Deal,references
1278,Fish,references
1278,Service,references
1279,Climate Adaptation Plan,references
1287,Wildlife Service,references
1287,Migratory Bird Treaty Act,references
1289,S.J.,references
1291,DD214,references
1292,ACC Champions,references
1292,FL02,references
1294,Veterans Day,references
1297,Day,references
1299,SBF,references
1299,FTX,references
1311,Sharm el-Sheikh,references
1311,COP27,references
1313,COP27,references
1321,COVID vaccine,references
1325,Emerging Women of Impact,references
1331,Siri,references
1332,COP27,references
1333,Siri,references
1334,Siri,references
1335,COP27,references
1337,COP27,references
1338,COP27,references
1339,COP27,references
1340,COP27,references
1340,CJPavilionCOP27,references
1340,DSCEJ,references
1340,TheBullardCenter,references
1342,DíaDeLosVeteranos,references
1344,VeteransDay,references
1346,COP27,references
1347,COP27,references
1348,COP27,references
1351,COP27,references
1352,COP27,references
1353,COP27,references
1355,NY-13,references
1357,Election2022,references
1362,Elección2022,references
1363,Election2022,references
1370,Préstamos,references
1372,Diabetes,references
1373,de Reducción,references
1379,Kansans,references
1379,Wichita Veterans Day,references
1379,Kansans,references
1387,COVID,references
1393,LIHEAP,references
1401,SNAP,references
1402,AmericanRescuePlan,references
1404,Josh Shapiro,references
1405,COVID19,references
1408,Philly,references
1412,Philly,references
1430,Task Force,references
1434,Philly,references
1435,Penn,references
1435,Kimmel Cultural Campus,references
1437,Philly,references
1441,City Hall Room 140,references
1450,EMTALA,references
1468,Veterans Day,references
1469,Marines,references
1479,Green New Deal,references
1485,IA04,references
1486,Marines,references
1487,IA04,references
1489,Soldi,references
1490,European Assure,references
1493,GA03,references
1497,Canoe,references
1497,Mike,references
1497,MN01,references
1497,GrabAPaddle,references
1497,MadeinMN,references
1499,American Revolutionary War,references
1501,BidenFlation,references
1502,Heroes of Main Street award,references
1505,Academy,references
1511,Hometown Heroes,references
1511,Hometown Heroes,references
1513,National School Psychology Week,references
1514,Semper Fi,references
1519,Oorah,references
1520,Novolex,references
1520,Waddington North America factory,references
1522,TN03,references
1530,World Series Championship,references
1531,Astroworld,references
1546,TX34,references
1547,Veteran’s Day,references
1547,TX34,references
1551,Day,references
1552,ACA,references
1559,Vietnam War Commemoration,references
1559,VFW,references
1559,Blue Ridge Mountain Post,references
1561,Forgotten War,references
1562,Korean War,references
1565,Nicole,references
1567,Day,references
1568,Semper Fi,references
1572,TRICARE Pharmacy Program,references
1572,Idaho Delegation,references
1572,Defense Health Agency,references
1573,COVID-19 vaccine,references
1575,Lakes States Habitat Conservation,references
1589,Day,references
1590,VFW 7534,references
1590,Duck Creek Pub,references
1590,Veterans Breakfast,references
1590,Gallagher,references
1591,TikTok,references
1592,Gallagher,references
1593,Marines,references
1594,TikTok,references
1594,TikTok,references
1599,Zadie,references
1600,Marines,references
1610,Reduction Act,references
1612,Inflation Reduction Act,references
1613,Day,references
1615,Biden,references
1635,SCV Senior Center Veterans Day,references
1642,Lower Costs,references
1642,Cures Act,references
1649,Leonel J Castillo Community Center,references
1650,Garcia,references
1654,Baldree Community Center,references
1654,Garcia,references
1656,ElectionDay2022,references
1657,Reduction Act,references
1657,Big Pharma,references
1660,DOJ,references
1662,Day,references
1663,World Series,references
1664,WorldSeries,references
1669,IL-04,references
1671,Veterans Breakfast and Resource Fair,references
1671,IL,references
1673,IL-04,references
1679,IL-04,references
1679,Cicero Public Library,references
1682,DACA,references
1682,Bracero,references
1683,Homestead Veterans Day Parade,references
1686,Communism Day,references
1686,Cuban,references
1688,Subtropical,references
1688,Nicole,references
1691,G-RAP,references
1692,BidensAmerica,references
1698,ElectionDay2022,references
1700,Election2022,references
1704,Angelenos,references
1706,GreenNewDeal,references
1708,Big Pharma,references
1709,CA34,references
1709,FY2023,references
1711,SOAR,references
1711,CA34,references
1712,CA34,references
1712,GreenNewDeal,references
1712,BoyleHeights,references
1712,Cooling Project,references
1713,BoyleHeights,references
1713,Cooling Project,references
1714,Bridewell,references
1714,CA34,references
1715,Catheterization Laboratory,references
1717,GreenNewDeal,references
1718,EagleRock,references
1718,Solemn,references
1718,NELA,references
1718,CA34,references
1719,Día de los Muertos,references
1719,Muertos Market,references
1721,Jan6th,references
1725,Champion,references
1725,Justice Award,references
1729,Border Patrol,references
1729,Enforcement,references
1730,.C,references
1733,Day,references
1733,Smile Structure Dentistry,references
1735,Congressional Hispanic Conference,references
1746,Core4Stem,references
1746,Tech Port of San Antonio,references
1750,RGV,references
1752,Falfurrias Volunteer,references
1758,Jenniffer González,references
1759,House Ocean Caucus,references
1770,Biden,references
1770,Biden,references
1774,Twitter,references
1776,Gosar Newsletter,references
1777,Biden,references
1785,Bagel,references
1785,JoshOnTheJob,references
1788,Elections Office,references
1793,NOAH Adult Day Care Center,references
1803,TX State Fair,references
1806,Airpower Foundation,references
1806,Sky Ball Anniversary Gala,references
1809,Tarrant Area Food Bank,references
1810,Climate Gender Equity Fund,references
1812,Debris,references
1814,Five Bayous,references
1814,Control,references
1817,Day,references
1821,Berlin Wall,references
1826,Camie,references
1826,Nicole,references
1835,Green New Deal,references
1836,DOJ,references
1840,Innocence Act,references
1843,Chloe,references
1850,covid,references
1866,COVID,references
1866,COVID-19,references
1867,COVID-19,references
1873,Twitter,references
1873,Twitter,references
1882,Day,references
1890,Day,references
1897,Twitter,references
1897,MTG,references
1900,Marjorie,references
1902,l Twitt,references
1904,Twitter,references
1904,ActBlue,references
1905,Twitter,references
1905,covid,references
1908,Twitter,references
1910,Twitter,references
1910,Twitter,references
1911,Twitter,references
1913,MTG,references
1915,Twitter,references
1915,Twitter,references
1915,Covid,references
1915,Covid,references
1927,DACA,references
1935,COVID19,references
1946,VA Owensboro Community,references
1946,Clinic,references
1946,WWII,references
1946,Dennis Lee Newberry II,references
1946,E.,references
1947,Patsy Mayfield,references
1947,Theresa Greer,references
1947,Walk,references
1949,Veterans,references
1950,Veterans of Foreign Wars Post,references
1951,bingo,references
1954,Marines,references
1955,COVID-19,references
1955,Jay Bhattacharya,references
1957,Inflation Reduction Act,references
1963,Veterans Day,references
1981,Armistice Day,references
1982,WWI,references
1982,Armistice Day,references
1989,Keystone XL Pipeline,references
1992,WNY,references
1994,Veterans,references
1994,Colby Krug,references
1996,BipartisanInfrastructureLaw,references
1998,PACT Act,references
1999,COVID,references
1999,COVID vaccines,references
2001,NY26,references
2006,Frogman Underwater Demolition,references
2006,USS Melville,references
2006,USS Circle,references
2006,Pacific Campaign,references
2008,Korean War,references
2008,USS Greenwood,references
2008,National Defense Service,references
2010,Hawkeyes,references
2012,Liaison,references
2012,WWII,references
2016,PACT,references
2018,Guidry,references
2025,ISS,references
2025,EMMY Award,references
2027,IA01,references
2029,VeteransDay,references
2033,Disorder Act,references
2033,PTSD,references
2034,Cindy Axne,references
2041,Transportation Company,references
2051,GDP,references
2054,AmericanRescuePlan,references
2057,diabetes,references
2057,diabetes,references
2057,American Diabetes Month,references
2057,diabetes,references
2058,Nevadans,references
2062,American Legions,references
2062,VFWs,references
2064,PA06,references
2065,AmericanRescuePlan,references
2070,ARP,references
2071,American Rescue Plan Act,references
2072,Main Line Health,references
2082,Bipartisan Infrastructure Law,references
2082,CHIPS,references
2082,Science Act,references
2084,COVID-19,references
2086,Landover,references
2089,Democratic,references
2090,NV03,references
2093,Nicole,references
2094,Marines,references
2095,Nicole,references
2101,COP27,references
2105,Commenta,references
2112,FireKamala,references
2113,WWI,references
2121,Twitter,references
2121,Ayatollah,references
2121,Twitter,references
2122,House Oversight Committee,references
2132,Day,references
2135,VeteransDay,references
2137,Marines,references
2140,Whitney,references
2141,Twitter,references
2142,World,references
2142,Day,references
2147,18,references
2156,This Is It Soul Food,references
2157,Alzheimer,references
2161,World Series Championship,references
2163,World Series,references
2163,Dusty Baker,references
2165,World Series,references
2167,World Series champions,references
2170,World Series Champions,references
2171,Dusty Baker,references
2171,Dusty Baker,references
2173,Employment,references
2175,Child Development Center,references
2177,Semper Fi,references
2178,Roe,references
2183,Day,references
2184,Earl B,references
2184,Gilliam Bar Foundation,references
2185,Native American,references
2189,Lourdes E,references
2189,Alfie Alvarado-Ramos,references
2189,VA Puget Sound Wall of Heroes,references
2196,Reduction Act,references
2204,MAGA,references
2215,Day,references
2227,VeteransDay,references
2233,FDR,references
2233,World War II Memorial,references
2234,World War II Memorial Prayer Act,references
2234,Veterans Day D-Day,references
2234,World War II Memorial,references
2235,World War II Memorial Prayer Act,references
2242,Vietnam War,references
2247,School Psychology Week,references
2248,TikTok,references
2249,Methane,references
2250,Greater Dallas Veterans Day,references
2255,PACTAct,references
2259,TheRAPAct,references
2262,CongressionalAppChallenge,references
2262,GA-04,references
2262,Congress4CS,references
2278,Day,references
2305,Heart,references
2306,Marines,references
2307,14,references
2308,Bruce Zuchowski,references
2308,Zuchowski,references
2310,PA13,references
2313,Mahalo,references
2317,Hawaiʻi,references
2317,Vietnam Veterans Memorial,references
2321,Kai Kahele,references
2321,Kai Kahe,references
2331,Good Friday Agreement,references
2336,Oireactas,references
2338,Good Friday Agreement,references
2343,Claire Cronin,references
2343,Cronin,references
2344,Good Friday Agreement,references
2349,Varner,references
2349,Battle of Argonne,references
2350,Raymond,references
2350,St. Mihiel,references
2351,World War,references
2352,Joe Kantz,references
2354,Semper,references
2357,Corry Fabrication,references
2360,IoT,references
2360,CyberSecurity,references
2360,Internet,references
2361,Election2022,references
2365,Methane,references
2377,Wall Street Landlords Act,references
2379,FreeAlaa,references
2379,COP27,references
2382,Veterans,references
2382,PACT Act,references
2383,Day,references
2384,Day,references
2391,Day,references
2398,Allen AME Church,references
2398,Woodards,references
2398,Tacoma,references
2401,JOBS,references
2402,Inflation Reduction Act,references
2403,BigOil,references
2410,Loy Krathong,references
2410,Bon Om Touk,references
2410,Tazaungdaing Festival,references
2413,American Diabetes,references
2414,Day,references
2415,Kim,references
2416,ChinoHills,references
2416,breast,references
2422,Korean War,references
2425,Marines,references
2427,WorldFreedomDay,references
2428,HOPE Center,references
2429,Hero of Main Street,references
2430,CA-39,references
2432,Act,references
2434,WWII,references
2434,Korean War,references
2434,Eastern,references
2434,WWII,references
2434,VFW,references
2438,Korean War,references
2438,Uyghur Policy Act,references
2439,PPP Extension Act,references
2441,Iraq War,references
2441,Veteran’s Day,references
2442,Tawni,references
2453,Twitter,references
2464,Big Lie,references
2466,Service,references
2472,Bartlett Veterans Day,references
2475,Mark McBride,references
2475,Ryan Higginbotham,references
2475,Cox Oil Company,references
2475,Tennessee Fuel,references
2475,Store,references
2480,Arlington Veterans Day,references
2482,Marines,references
2498,REV Act,references
2500,PA17,references
2501,Atlas V rocket,references
2501,SLC,references
2501,Vulcan Centaur,references
2501,SpaceSaturday,references
2506,SemperFidelis,references
2515,Semper,references
2516,Rhode Islanders,references
2520,Snohomish County Veterans Memorial,references
2523,USMC247,references
2529,VeteransDay,references
2532,CT01,references
2534,Social Security 2100,references
2535,Day,references
2537,Day,references
2539,Del Latta,references
2539,Marcia,references
2540,Earth,references
2542,Hall,references
2543,Semper,references
2544,OH5,references
2547,HALT,references
2547,Fentanyl Act,references
2547,Schedule,references
2550,.C,references
2551,Marcia,references
2551,Peter,references
2551,Paul,references
2557,Day,references
2558,LIHEAP,references
2559,VeteransDay,references
2561,Tropical Storm Nicole,references
2564,Tropical,references
2564,Nicole,references
2564,Madison\nJefferson,references
2564,Gadsden,references
2564,Leon\nDuval,references
2566,Nicole,references
2568,Garvin Tutt,references
2568,WW2,references
2568,Korean War,references
2573,COP,references
2574,COP15,references
2575,COP,references
2576,COP27,references
2576,COP,references
2576,COP27,references
2576,COP27,references
2577,CA13,references
2577,CA12,references
2582,New Mexico Voter Information Portal,references
2584,Agua Es Vida,references
2590,Monica,references
2590,Southwest Valley Chamber of Commerce,references
2591,Monica,references
2593,Monica,references
2593,Luke Air Force Base,references
2594,Austin,references
2595,Michael,references
2595,White Tank Mountain Detachment,references
2596,Michael,references
2596,Cars,references
2597,Daisy Mountain Veterans Parade,references
2598,Monica,references
2608,VeteransDay,references
2609,LA05,references
2619,Twitter,references
2626,Loy Krathong,references
2626,Om Touk,references
2636,2022CAGeneralElection,references
2637,2022CAGeneralElection,references
2642,Count von,references
2647,Eagle Pass,references
2649,FDR,references
2655,COVID,references
2658,CBP,references
2672,Marines,references
2675,Shelter,references
2684,Hancock Adams Commons,references
2686,Festival of Lights,references
2688,The Ripon Forums,references
2688,Day,references
2694,TORNADO,references
2697,States Reform Act,references
2698,Tropical Storm Nicole,references
2700,Shelter,references
2701,Tornado Watch,references
2703,Few,references
2703,The Proud,references
2703,The Marines,references
2705,Nicole,references
2706,Tropical,references
2706,Nicole,references
2710,Nicole,references
2711,Nicole,references
2715,States Reform Act,references
2719,VeteransDay,references
2724,Bipartisan Infrastructure Law,references
2725,Nicole,references
2727,Nicole,references
2727,New Dorp Friendship Club,references
2727,Hurricane Sandy,references
2727,Nicole,references
2727,BINGO,references
2728,Nicole,references
2728,Knights of Columbus,references
2728,Steven Dolan,references
2730,Reduction,references
2733,Inflation Reduction Act,references
2738,BipartisanInfrastructureLaw,references
2739,AmericanRescuePlan,references
2739,NC06,references
2739,Kid Appeal,references
2742,NC06,references
2745,Day,references
2746,Williams,references
2746,Ivan Saul Cutler,references
2747,NC06,references
2761,Kibbe,references
2764,COVID,references
2767,COVID-19,references
2768,COVID,references
2769,COVID,references
2772,CO2,references
2775,Freedom,references
2782,COVID,references
2783,Brian Thomas Morning Show,references
2784,paxlovid,references
2784,COVID,references
2784,COVID,references
2789,COVID,references
2791,Twitter,references
2793,Twitter,references
2793,MTG,references
2805,twitter,references
2814,Mouthy Old Bat,references
2818,Police Academy,references
2820,Twitter,references
2824,Revolutionary War,references
2826,Nicole,references
2829,Semper Fi,references
2830,Hurricane Nicole,references
2830,ZeroDischarges,references
2831,FPL,references
2831,FPL,references
2831,FPUA,references
2832,Tropical Storm Nicole,references
2842,Nicole,references
2843,ZeroDischarges,references
2847,InflationReductionAct,references
2848,Affordable Care Act,references
2861,Semper Fi,references
2872,CBP,references
2886,CHIPS Act,references
2919,VeteransDay,references
2927,COP27,references
2928,COP27,references
2929,MN,references
2929,04,references
2933,IBEW,references
2933,UnionStrong,references
2935,Native,references
2936,Veteran’s Day,references
2936,Tussing Elementary School,references
2937,VA-04,references
2937,David M. Robinson,references
2938,Robinson,references
2942,Korean War Memorial,references
2944,Worcester Free Fare Coalition,references
2950,Day,references
2954,MA02,references
2965,Korean War,references
2972,DOJ,references
2972,NC10,references
2973,of Farm Bureau Award,references
2979,Day,references
2988,MI03,references
2994,Lisa Posthumus Lyons,references
2997,Reduction Act,references
3011,Champion4Children,references
3012,Vietnam Veterans Memorial,references
3016,American Legion Continental Post 1424,references
3016,ForestHills,references
3017,Kissena Park Civic Association,references
3027,VeteransDay,references
3036,Biden,references
3036,Crisis,references
3036,Biden,references
3039,Parental Rights,references
3040,COVID,references
3045,Biden Diesel Crisis,references
3046,COP27,references
3048,COP27,references
3051,COP27,references
3052,Sharm El-Sheikh,references
3052,COP27,references
3062,Second District,references
3065,Medal of Honor,references
3070,Six Triple Eight,references
3070,Congressional Gold Medal,references
3071,Tax,references
3071,AmericanRescuePlan,references
3078,American Rescue Plan,references
3080,GDP,references
3084,COVID-19,references
3094,Day,references
3103,Awaiting,references
3106,Gold Star Family Float,references
3106,Tulsa Veterans Day,references
3106,Survivor Outreach Services,references
3109,COP27,references
3112,Marines,references
3120,Tropical,references
3120,Nicole,references
3121,Storm Nicole,references
3124,Day,references
3126,Merritt Island Wildlife Refuge,references
3127,Pregnant Workers Fairness Act,references
3129,UnionStrong,references
3132,VeteransDay,references
3133,COP27,references
3134,COP27,references
3139,Continental Divide National Monument,references
3148,Marines,references
3151,Earth,references
3151,Election Day,references
3152,Day,references
3156,Facebook,references
3161,World Champions,references
3165,Consumer Price Index,references
3166,Semper,references
3167,Tri-Cities,references
3167,Challenge,references
3186,NJ01,references
3190,camdenrising,references
3197,Revolutionary War,references
3200,VeteransDay,references
3200,American Revolution,references
3202,Zoo Loop Trail,references
3204,National Park Service,references
3206,CommitmenttoAmerica,references
3217,SBDCO,references
3218,El Dorado,references
3218,Apple,references
3223,Green New Deal,references
3224,Big Bear Lake,references
3230,Day,references
3235,WWII,references
3236,PATROL Act,references
3236,PSOB,references
3237,Owens,references
3237,Juab Co,references
3239,Owens,references
3240,TeamOwens,references
3243,Mining Schools,references
3244,Permitting,references
3244,Act,references
3246,Green Zone,references
3246,COP27,references
3248,COP27,references
3249,Methane,references
3250,COP27,references
3251,COP27,references
3254,COP27,references
3256,Medicaid,references
3257,COP27,references
3259,NJ06,references
3262,Day,references
3262,Election2022,references
3263,Reduction,references
3265,Jerseyans,references
3269,Scarlet Knights,references
3270,Kiran,references
3270,Bharti Desai,references
3272,Fall Fling,references
3273,PFAS,references
3273,PFAS Action Act,references
3273,Bipartisan Infrastructure Law,references
3277,Irondale Chamber of Commerce,references
3278,Elder Justice Center of,references
3278,Robyn James,references
3279,Election2022,references
3280,JT,references
3284,Fitzpatrick,references
3284,School Psychology,references
3286,MCHA,references
3286,Luncheon,references
