:START_ID(Tweet),:END_ID(Place),:TYPE
772,Rhode Island,references
773,Infantry Lodge,references
774,Rhode Island,references
781,Rhode Island,references
781,DC,references
784,Marine Corps,references
787,Rhode Island,references
787,Providence,references
789,Cambridge,references
789,America,references
790,New Mexico,references
799,Massachusetts,references
800,America,references
805,America,references
806,YAI,references
821,Missouri,references
823,America,references
826,KC,references
826,Philadelphia,references
826,NYC,references
826,America,references
827,Kansas City,references
827,KC,references
829,Ukraine,references
829,United States,references
829,StandWithUkraine,references
831,Missouri,references
833,Missouri,references
834,America,references
834,America,references
839,America,references
840,America,references
842,Marine Corps,references
842,Montezuma,references
842,Tripoli,references
842,Iwo Jima,references
843,Airedale,references
843,Rockbridge,references
844,Virginia,references
851,Washington,references
857,Parris Island,references
857,South Carolina,references
874,America,references
875,U.S. Marine Corps,references
890,Ukraine,references
890,Russia,references
891,Russia,references
891,Ukraine,references
894,Memphis,references
899,",or Ame",references
902,US,references
904,Tennessee,references
905,Tennessee,references
906,United States,references
913,U.S.,references
917,Washington,references
918,U.S.,references
929,U.S.,references
930,U.S.,references
933,Central Valley,references
933,U.S.,references
936,CA,references
937,Tulare,references
937,Valley Ag,references
941,-495,references
941,Tysons,references
944,Virginia,references
945,Virginia,references
947,America,references
948,Virginia,references
968,US,references
968,New London,references
968,New London,references
969,U.S. Marine Corps,references
970,Washington,references
972,Connecticut,references
973,New London,references
973,Thames River,references
973,New London,references
974,SUBASE,references
974,New London,references
975,US,references
976,The Grange,references
976,Sterling,references
977,The,references
977,Grange,references
977,Connecticut,references
978,America,references
981,Minnesota,references
987,Berlin Wall,references
987,Berlin Wall,references
988,Cuba,references
988,China,references
988,Venezuela,references
993,Aurora,references
998,TX,references
998,South Texas,references
1000,Blanding,references
1003,U.S.,references
1006,America,references
1008,Kansans,references
1010,Spring Hill,references
1013,Kansas,references
1019,Miami County,references
1027,l ,references
1029,America,references
1031,America,references
1034,Florida,references
1034,Florida,references
1036,America,references
1037,Washington,references
1042,China,references
1046,America,references
1050,Chicago,references
1051,America,references
1054,U.S,references
1059,Berks,references
1059,Montgomery,references
1060,America,references
1069,United States,references
1070,Connecticut,references
1071,Connecticut,references
1072,Derby,references
1073,Connecticut,references
1074,WA,references
1075,Mill Creek,references
1076,WA,references
1079,WA,references
1082,Snohomish Co,references
1083,U.S. Forest Service,references
1085,Marysville,references
1097,Orange County,references
1099,Flowers Avenue,references
1099,Orlando,references
1099,Apopka,references
1099,Orlando,references
1104,Southwest Atlantic,references
1104,Florida,references
1108,Contra Costa County,references
1109,California,references
1109,CA,references
1116,San Pablo,references
1121,Quantico Virginia,references
1125,Palm Beach,references
1125,Glades,references
1125,Hendry,references
1125,Lake Okeechobee,references
1126,Florida,references
1127,Collier County,references
1129,Hendry County,references
1129,Hendry County,references
1131,Florida,references
1134,Florida,references
1136,America,references
1146,Michigan,references
1151,Michigan,references
1153,America,references
1162,Texas,references
1169,Texas,references
1178,Southwest,references
1178,Florida,references
1180,Florida,references
1181,Florida,references
1183,U.S. Marine Corps,references
1183,America,references
1184,Florida,references
1187,America,references
1189,Pennsylvania,references
1191,Vietnam,references
1194,U.S. military,references
1199,United States,references
1199,South Carolina,references
1200,South Carolinians,references
1203,United States,references
1206,Venezuela,references
1207,Granholm,references
1207,U.S.,references
1209,Chaco Culture National Historical Park,references
1211,U.S. Appeals Court,references
1213,Granholm,references
1215,CA,references
1218,China,references
1218,SPR,references
1218,U.S.,references
1218,China,references
1218,U.S.,references
1221,Permian Basin,references
1223,Alaska,references
1223,Bristol Bay,references
1227,Gulf of Mexico,references
1229,California,references
1230,Cook Inlet,references
1230,Alaska,references
1232,Alaska,references
1233,U.S. Climate,references
1233,U.S.,references
1234,White,references
1240,United States,references
1241,U.S.,references
1248,U.S.,references
1250,CA,references
1250,CA,references
1252,U.S.,references
1253,Nevada,references
1253,Utah,references
1253,Wyoming,references
1261,CA,references
1261,CA,references
1261,CA,references
1265,Arctic,references
1269,Chaco Canyon,references
1270,China,references
1271,Russia,references
1271,China,references
1271,US,references
1276,Northeast Canyons,references
1276,Marine National Monument,references
1282,White House,references
1282,Russia,references
1288,California,references
1288,California,references
1290,U.S. International Climate Finance Plan,references
1291,St. Louis,references
1294,St. Cloud VA,references
1296,Inver Grove Heights,references
1298,Marine Corps,references
1301,America,references
1311,U.S.,references
1313,America,references
1316,United States,references
1317,El Paso,references
1320,El Paso,references
1320,El Paso,references
1324,America,references
1327,United States,references
1338,Estados Unidos,references
1339,United States,references
1346,Egypt,references
1347,EE.UU.,references
1348,U.S.,references
1349,Marina,references
1349,Estados Unidos,references
1350,United States,references
1351,Egipto,references
1352,El-Sheikh,references
1352,Egypt,references
1353,Egypt,references
1354,NY-13,references
1356,NY-13,references
1372,Estados Unidos,references
1381,America,references
1382,Kansas,references
1383,America,references
1385,Philadelphia,references
1394,Pennsylvania,references
1398,KC,references
1398,Philadelphia,references
1398,NYC,references
1398,America,references
1401,Pennsylvania,references
1407,City Hall,references
1425,PA,references
1431,PA,references
1434,Pennsylvania,references
1435,South Side City Hall,references
1442,Pennsylvania,references
1443,Pennsylvania,references
1470,Iran,references
1471,Texas,references
1471,North Texas,references
1471,Washington,references
1473,Iran,references
1475,Iran,references
1481,America,references
1482,America,references
1484,America,references
1485,America,references
1487,Lake City,references
1490,Mason City,references
1490,Poland,references
1498,America,references
1500,America,references
1502,MN07,references
1505,U.S. Service Academies,references
1507,Glenroy,references
1507,Inc,references
1509,America,references
1511,MontCo,references
1514,U.S. Marine Corps,references
1518,America,references
1520,Chattanooga,references
1520,Novolex,references
1522,Tennessee,references
1523,DC,references
1525,America,references
1528,U.S. Marine Corps,references
1532,Houston,references
1540,United States Marine Corps,references
1547,Brownsville,references
1547,Brownsville,references
1559,North Wilkesboro,references
1561,Korean Peninsula,references
1573,United States,references
1573,Canada,references
1573,Canada,references
1579,America,references
1590,Northeast Wisconsinites,references
1591,America,references
1592,Northeast,references
1592,Wisconsin,references
1596,Vietnam,references
1598,Vietnam,references
1600,US Marine Corps,references
1608,Solano County,references
1611,U.S. Marine Corps,references
1612,America,references
1616,California,references
1622,America,references
1624,U.S.,references
1624,China,references
1628,NY,references
1631,New York,references
1637,Santa Clarita,references
1638,Lake Hughes,references
1638,Antelope Valley,references
1641,DC,references
1650,East Harris County Activity Center,references
1650,Pasadena,references
1660,Harris County,references
1661,Houston,references
1664,Houston,references
1666,Houston,references
1668,Mexico,references
1676,Illinois,references
1677,Illinois,references
1679,Brookfield Zoo,references
1683,South Florida,references
1683,South Florida,references
1685,Marine Corps,references
1701,California,references
1704,CA34,references
1705,California,references
1712,RamonaGardens,references
1714,HighlandPark,references
1715,BoyleHeights,references
1716,Chinatown,references
1716,Cathay Manor,references
1716,CA34,references
1717,DC,references
1718,NELA,references
1719,BoyleHeights,references
1726,CA34,references
1731,San Antonio,references
1742,Carrizo Springs,references
1743,Rebecca Creek,references
1743,San Antonio,references
1743,TX23,references
1745,Iran,references
1746,South Texas,references
1747,America,references
1757,Cabo Rojo,references
1758,Guayanilla,references
1759,Puerto Rico,references
1764,Vietnam,references
1766,Texas,references
1766,Florida,references
1766,Arizona,references
1783,Wild Duck Pond,references
1783,Saddle River County Park,references
1784,Jersey,references
1785,Paramus,references
1788,NJ,references
1789,New Jersey,references
1792,New Jersey,references
1792,New Jersey,references
1793,Maywood,references
1793,North Jersey,references
1794,China,references
1797,Fifth District,references
1798,Washington,references
1800,North Jersey,references
1800,Upper Saddle River,references
1810,U.N. Climate Conference,references
1810,US,references
1810,Africa,references
1813,Baton Rouge Parish,references
1813,Jones Creek,references
1813,Ward Creek,references
1813,Bayou Fountain,references
1813,Blackwater Bayou,references
1813,Beaver Bayou,references
1814,Jones Creek,references
1814,Amite River Basin,references
1814,Bayou Fountain,references
1816,America,references
1821,Europe,references
1822,Venezuela,references
1827,Tennessee,references
1828,Tennessee,references
1829,Tennessee,references
1829,Tennessee,references
1829,Washington,references
1832,Afghanistan,references
1839,Ukraine,references
1845,America,references
1848,America,references
1851,FLA,references
1851,GA,references
1851,TX,references
1855,America,references
1860,Georgia,references
1860,Florida,references
1863,America,references
1863,Florida,references
1863,Georgia,references
1876,America,references
1877,FL,references
1877,GA,references
1877,NY,references
1877,MI,references
1881,Georgia,references
1881,Washington,references
1881,America,references
1883,America,references
1884,Arizona,references
1886,Mesa,references
1887,Arizona,references
1887,New Jersey,references
1888,France,references
1892,Ohio,references
1895,Brazil,references
1895,US,references
1899,Madison Avenue,references
1910,America,references
1914,Georgia,references
1934,Afghanistan,references
1940,Washington,references
1941,Southwest border,references
1944,Kentucky,references
1945,Morgantown,references
1946,Parrish Ave,references
1946,Owensboro,references
1947,Kentucky,references
1948,Daviess County,references
1948,Kentucky,references
1956,Baltimore,references
1956,Baltimore city,references
1958,America,references
1960,America,references
1961,United States,references
1961,Egypt,references
1966,America,references
1971,America,references
1974,Washington,references
1975,US,references
1979,New Mexico,references
1979,America,references
1981,New Mexico,references
1982,New Mexico,references
1983,New Mexico,references
1983,America,references
1987,U.S. Marine Corps,references
1988,Marine Corps,references
1994,WNY,references
1995,WNY,references
2001,Western New York,references
2002,European-African Theatre,references
2005,Vietnam,references
2005,Fort Monmouth,references
2005,Vietnam,references
2006,Pacific Theater,references
2007,US,references
2007,Corps,references
2007,Saudi Arabia,references
2007,Kuwait,references
2008,U.S. Navy,references
2009,Buffalo,references
2009,U.S. Army,references
2009,U.S.,references
2009,Buffalo,references
2009,Philadelphia,references
2009,Dallas,references
2010,Vietnam,references
2010,China,references
2011,U.S. Army,references
2011,Burma,references
2011,China,references
2011,India,references
2012,Omaha Beach,references
2012,France,references
2012,Normandy,references
2013,WWII,references
2013,Korea,references
2013,Vietnam,references
2013,Kuwait,references
2013,Iraq,references
2013,Afghanistan,references
2016,WNY,references
2016,US,references
2017,New,references
2018,South Louisiana,references
2019,America,references
2021,Arkansas,references
2022,Central Arkansas,references
2023,Arkansas,references
2025,Arkansas,references
2029,America,references
2029,Iowa,references
2034,Iowa,references
2034,Iowa,references
2035,Iowa,references
2037,Southern Border,references
2039,Oelwein,references
2039,Iowa,references
2040,America,references
2040,China,references
2041,Mason City,references
2041,America,references
2042,Main Streets,references
2042,Washington,references
2043,Marshalltown,references
2045,Nevada,references
2051,Nevada,references
2053,Nevada,references
2054,Nevada,references
2060,Pennsylvania,references
2061,Coatesville VA,references
2065,Chester County,references
2070,Paoli,references
2071,Paoli Hospital,references
2072,Paoli Hospital,references
2072,PA,references
2073,Paoli Hospital,references
2073,Chester County,references
2077,America,references
2078,America,references
2084,AmericanRescuePlan,references
2085,America,references
2086,Maryland,references
2086,Prince George’s County,references
2086,Greenbelt,references
2089,America,references
2091,Maryland,references
2091,Maryland,references
2095,Vero Beach,references
2100,U.S. Delegation,references
2101,Egypt,references
2101,America,references
2104,California,references
2104,District,references
2106,CA,references
2107,US,references
2107,Washington,references
2108,America,references
2114,America,references
2117,Florida,references
2118,Florida,references
2121,Iran,references
2121,Iran,references
2122,America,references
2122,Florida,references
2123,America,references
2126,America,references
2127,U.S. Marine Corps,references
2132,U.S.,references
2132,Kherson,references
2133,America,references
2133,America,references
2143,America,references
2146,U.S. House Judiciary Committee,references
2146,America,references
2150,Houston,references
2150,Texas,references
2152,Harris County,references
2153,Harris County,references
2156,Greater Third Ward,references
2157,Houston,references
2173,San Diego County,references
2174,LGBT,references
2174,LGBTQ+,references
2176,San Diego,references
2177,San Diego,references
2178,Supreme Court,references
2184,San Diego,references
2188,America,references
2193,Seattle,references
2201,Washington,references
2215,America,references
2229,America,references
2234,D.C,references
2245,U.S.,references
2245,China,references
2246,Gettysburg,references
2254,America,references
2257,United States,references
2260,Georgia,references
2269,America,references
2270,U.S. Marine Corps,references
2271,Louisiana,references
2278,America,references
2282,America,references
2287,Marine Corps,references
2294,America,references
2297,America,references
2299,America,references
2300,America,references
2301,America,references
2305,Ohio,references
2307,OH,references
2308,Portage County,references
2308,Cleveland,references
2309,Laketran,references
2313,America,references
2317,Washington,references
2321,U.S.,references
2322,America,references
2325,Belfast,references
2325,Derry,references
2325,Londonderry,references
2331,Belfast,references
2335,Stormont,references
2335,Belfast,references
2336,Ukraine,references
2337,Oireactas,references
2337,Seanad,references
2337,Dáil,references
2338,US,references
2339,Ireland,references
2339,US,references
2339,Ireland,references
2339,US,references
2339,Ireland,references
2339,US,references
2339,EU,references
2340,China,references
2340,US,references
2341,US,references
2341,Ireland,references
2341,Ireland,references
2342,US,references
2342,Ireland,references
2342,US,references
2342,Ireland,references
2343,Dublin,references
2343,Massachusetts,references
2343,Dublin,references
2344,US,references
2344,Ireland,references
2344,US,references
2344,Uk,references
2345,Sayre,references
2345,United States,references
2346,PA,references
2348,Sayre,references
2350,Meuse-Argonne,references
2352,Snyder County,references
2353,United States,references
2353,Pennsylvania,references
2354,America,references
2355,America,references
2357,Erie County,references
2367,America,references
2368,Santa Clara,references
2370,America,references
2374,Wall Street,references
2379,Egypt,references
2380,Wall Street,references
2382,Michigan,references
2383,Michigan,references
2384,Michigan,references
2385,Michigan,references
2386,Michigan,references
2386,Michigan,references
2387,Michigan,references
2389,Michigan,references
2392,Washington,references
2393,United States,references
2394,Washington,references
2398,Vietnam,references
2398,Tacoma,references
2410,Southeast Asian American,references
2410,Jersey,references
2419,Brea,references
2420,ChinoHills,references
2420,United States,references
2421,U.S. Army,references
2422,South Korea,references
2427,Berlin Wall,references
2427,Europe,references
2428,Fullerton,references
2428,Orange County,references
2435,California,references
2436,California,references
2437,Main Street,references
2438,South Korea,references
2442,Camp Lejeune,references
2442,North Carolina,references
2447,AZ,references
2450,U.S.,references
2451,Ukraine,references
2451,Russia,references
2455,U.S. Marine Corps,references
2457,Kherson,references
2457,Russia,references
2457,Ukraine,references
2467,America,references
2469,United States,references
2472,Shelby County,references
2472,TN,references
2474,Madison County,references
2475,Obion County,references
2478,TN,references
2480,Shelby County,references
2481,America,references
2484,Illinois,references
2488,Northern California,references
2488,America,references
2489,Nor Cal,references
2501,Vandenberg SFB,references
2503,U.S.,references
2504,US,references
2504,US,references
2505,Colorado,references
2505,America,references
2508,Colorado,references
2511,NY,references
2513,Rhode Island,references
2517,Rhode Island,references
2519,Rhode Island,references
2520,Everett,references
2522,WA,references
2531,United States,references
2533,Connecticut,references
2538,Ohio,references
2540,U.S.,references
2543,U.S. Marine Corps,references
2548,Ohio,references
2549,Washington,references
2550,Ohio,references
2550,Washington,references
2551,Ottawa,references
2556,Michigan,references
2557,Michigan,references
2558,Michigan,references
2561,Duval County,references
2562,Jacksonville,references
2563,ALERTJAX,references
2563,Duval County,references
2564,North Florida,references
2564,Columbia,references
2565,Tallahassee,references
2565,Leon County,references
2565,Leon County,references
2570,US,references
2571,California,references
2571,Vermont,references
2571,Michigan,references
2571,Montana,references
2571,Kentucky,references
2571,Maryland,references
2571,Missouri,references
2571,DC,references
2571,Nebraska,references
2572,Berkeley,references
2572,US,references
2573,US,references
2576,UN,references
2576,El-Sheikh,references
2576,Egypt,references
2579,America,references
2581,Nevada,references
2581,Washington,references
2584,Southwest,references
2590,Goodyear,references
2590,AZ,references
2591,Goodyear,references
2591,AZ,references
2592,Austin,references
2592,Sun City West,references
2592,City West,references
2592,AZ,references
2595,U.S. Marine Corps,references
2596,AZ,references
2597,AZ,references
2599,America,references
2601,Washington,references
2601,D.C.,references
2604,America,references
2608,America,references
2611,Armenia,references
2611,Armenia,references
2612,St. John Armenian Church,references
2626,CA49,references
2628,US,references
2629,Santa Monica,references
2630,America,references
2633,Los Angeles district,references
2635,Los Angeles County,references
2642,Arizona,references
2642,Nevada,references
2642,Florida,references
2647,Quemado,references
2647,TX,references
2650,Washington,references
2651,Washington,references
2651,D.C,references
2665,U.S. Marine Corps,references
2666,Georgia,references
2670,Oklahoma,references
2670,America,references
2670,America,references
2671,America,references
2680,America,references
2681,Coastal Virginia,references
2686,James Island County Park,references
2691,Georgia,references
2691,North Carolina,references
2691,South Carolina,references
2692,South Carolina,references
2698,Charleston County School District,references
2701,Beaufort Coun,references
2702,Downtown Charleston,references
2704,Charleston Harbor,references
2710,Charleston,references
2713,Florida,references
2715,America,references
2719,NJ,references
2722,NJ,references
2723,NJ,references
2724,New Jersey,references
2725,Brooklyn VA,references
2736,Winston-Salem Northern Beltway,references
2737,U.S. Marines,references
2738,America,references
2739,High Point,references
2740,North Carolinians,references
2742,Pleasant Garden,references
2745,North Carolinians,references
2746,Gibsonville,references
2746,Town Hall,references
2746,Gibsonville,references
2748,North Carolina,references
2748,North Carolinians,references
2750,North Carolinians,references
2762,Arizona,references
2762,Arizona,references
2764,Florida,references
2764,Florida,references
2775,Washington DC,references
2809,Perth,references
2828,Treasure Coast,references
2829,Marine Corps,references
2830,Lake Okeechobee,references
2833,MacArther Blvd,references
2836,Palm Beaches,references
2836,Treasure Coast,references
2836,Martin County,references
2836,Palm Beach County,references
2836,St. Lucie County,references
2841,U.S.,references
2845,Sacramento,references
2849,America,references
2854,Washington,references
2856,America,references
2858,Capitol,references
2860,America,references
2861,U.S. Marine Corps,references
2870,TN,references
2877,United States,references
2877,America,references
2882,Afghanistan,references
2884,Ukraine,references
2885,America,references
2889,US,references
2899,America,references
2913,United States,references
2916,Minnesota,references
2916,Minnesota,references
2916,White Bear Lake VFW Post,references
2916,North St. Paul Veterans Park,references
2921,Baytown,references
2921,South Stillwater,references
2921,Bayport,references
2923,Minnesota,references
2923,U.S. House,references
2925,Fourth District,references
2928,Russia,references
2928,Ukraine,references
2928,UN,references
2938,Iraq,references
2938,Virginia,references
2942,Worcester,references
2943,Worcester,references
2944,Worcester,references
2945,U.S.,references
2946,Colorado,references
2947,America,references
2947,Hatfield,references
2948,U.S.,references
2948,Russia,references
2949,Worcester,references
2955,America,references
2957,Massachusetts,references
2959,Leominster,references
2959,Northampton,references
2959,Worcester,references
2962,Washington,references
2963,America,references
2963,Ukraine,references
2965,Korea,references
2965,Boston,references
2976,U.S. military,references
2976,NY05,references
2977,NY05,references
2978,New York,references
2978,NY05,references
2979,NY05,references
2980,New York,references
2980,NY05,references
2984,White House,references
2985,White House,references
2988,West Michigan,references
2992,Florida,references
2994,Kent County,references
2996,Michigan,references
2997,Europe,references
2998,Kent County,references
2998,Cascade Township,references
3009,NewYork,references
3009,Queens,references
3009,Washington,references
3010,Queens,references
3012,Elmhurst Park,references
3015,Elmhurst,references
3017,Kissena Park,references
3018,Ridgewood,references
3018,Glendale,references
3018,Maspeth,references
3019,Queens,references
3020,America,references
3024,Luzerne County,references
3024,Luzerne County,references
3025,Main Street,references
3030,Fayette County,references
3033,Illinois,references
3033,United States of America,references
3034,U.S. Marines,references
3044,Douglas County,references
3046,China,references
3051,Iowa,references
3052,U.S. Pavillion,references
3057,West Virginia,references
3059,Southeast,references
3059,Alabama,references
3059,America,references
3060,Alabama,references
3062,Alabama,references
3063,Montgomery,references
3063,Coffee,references
3064,Alabama,references
3065,DC,references
3065,utpol,references
3069,America,references
3073,Wisconsin,references
3076,Wisconsin,references
3077,Wisconsin,references
3078,Wisconsin,references
3079,America,references
3084,Wisconsin,references
3096,Supreme Court,references
3096,Roe,references
3109,Egypt,references
3109,U.S.,references
3116,Florida,references
3117,U.S,references
3118,United States,references
3120,Florida,references
3120,Seminole,references
3123,Seminole County Subtropical Storm Nicole,references
3125,Florida,references
3126,Florida,references
3126,Florida,references
3131,La Puente,references
3131,Irwindale,references
3131,United States,references
3131,America,references
3136,United States,references
3139,Camp Hale,references
3142,America,references
3146,Texas,references
3154,Border,references
3154,El Paso,references
3160,U.S. border,references
3160,Houston,references
3160,Dallas,references
3160,San Antonio,references
3168,Central Washington,references
3169,North Cascades,references
3171,Central Washington,references
3172,America,references
3173,Central Washington,references
3174,America,references
3174,Central Washington,references
3176,Central Washington,references
3180,Camden,references
3180,Gloucester County,references
3183,South Jersey,references
3183,South Jersey,references
3184,SJ,references
3185,South Jersey,references
3188,Camden,references
3190,Camden,references
3194,Camden,references
3197,U.S. Marine Corps,references
3198,DC,references
3200,DC,references
3202,National Zoo,references
3202,DC,references
3203,DC,references
3204,DC,references
3210,Capitol Building,references
3210,D.C,references
3211,Buckthorn Avenue,references
3211,Walnut Street,references
3211,Orange Street,references
3212,Oak Glen,references
3212,Forest Falls,references
3212,Mountain Home Village,references
3212,Angelus Oaks,references
3212,Northeast Yuc,references
3213,San Bernardino County Animal Care,references
3216,SBCO,references
3219,United States,references
3221,El Dorado,references
3223,California,references
3223,America,references
3225,America,references
3226,NYC,references
3232,America,references
3233,Utah,references
3237,VA,references
3238,Washington,references
3238,Utah,references
3238,District,references
3239,Sanpete Co,references
3239,VA,references
3240,Washington,references
3242,Utah,references
3243,America,references
3248,United States,references
3250,Egypt,references
3251,United States,references
3252,Asbury Park,references
3254,Egypt,references
3254,U.S.,references
3255,Supreme Court,references
3256,South Dakota,references
3257,US,references
3258,Michigan,references
3258,California,references
3258,Vermont,references
3259,NJ,references
3259,Washington,references
3261,US,references
3263,New Jersey,references
3266,Ukraine,references
3266,Ukraine,references
3270,Royal Albert’s Palace,references
3270,Fords,references
3271,New Jersey,references
3272,Ocean Grove,references
3274,Birmingham,references
3275,Magic City,references
3276,Alabama,references
3278,Alabama,references
3278,Montevallo,references
3285,U.S. Marine Corps,references
3288,California,references
3289,Santa Cruz County,references
3290,Fort Ord,references
3290,CA,references
3291,Pacific Grove,references
3291,Central Coast,references
3292,California,references
3295,Central Coast,references
3296,Central Coast,references
3299,United States,references
3303,Manchester,references
3304,Barrington Town Hall,references
3307,Laconia,references
3307,Capitol,references
3316,New Jersey,references
3316,U.S. Army,references
3316,Suresnes Cemetery,references
3316,Armistace100,references
3317,America,references
3318,Supreme Court,references
3322,America,references
3322,America,references
3324,America,references
3326,New Jersey,references
3329,US Capitol,references
3331,Congres,references
3338,US Capitol,references
3346,America,references
3368,US Capitol,references
3371,America,references
3373,U.S. Marine Corps,references
3383,America,references
3391,America,references
3393,MAGA,references
