:START_ID(Tweet),:END_ID(Person-ca),:TYPE,Specification
74,Brian Babin,references,US Representative Brian Babin (TX-36)
75,Joe Biden,references,US President Joe Biden
75,Brian Babin,references,US Representative Brian Babin (TX-36)
76,Don Bacon,references,US Representative Don Bacon (NE-02)
77,Don Bacon,references,US Representative Don Bacon (NE-02)
78,Don Bacon,references,US Representative Don Bacon (NE-02)
79,Don Bacon,references,US Representative Don Bacon (NE-02)
80,Don Bacon,references,US Representative Don Bacon (NE-02)
81,Don Bacon,references,US Representative Don Bacon (NE-02)
82,Joe Biden,references,US President Joe Biden
82,Don Bacon,references,US Representative Don Bacon (NE-02)
83,Don Bacon,references,US Representative Don Bacon (NE-02)
84,Don Bacon,references,US Representative Don Bacon (NE-02)
85,Don Bacon,references,US Representative Don Bacon (NE-02)
86,Don Bacon,references,US Representative Don Bacon (NE-02)
87,Don Bacon,references,US Representative Don Bacon (NE-02)
88,Don Bacon,references,US Representative Don Bacon (NE-02)
89,Don Bacon,references,US Representative Don Bacon (NE-02)
90,Don Bacon,references,US Representative Don Bacon (NE-02)
91,Don Bacon,references,US Representative Don Bacon (NE-02)
91,Ben Shapiro,references,Ben Shapiro
92,Joe Biden,references,US President Joe Biden
92,Don Bacon,references,US Representative Don Bacon (NE-02)
92,Ben Shapiro,references,Ben Shapiro
93,Don Bacon,references,US Representative Don Bacon (NE-02)
94,Joe Biden,references,US President Joe Biden
94,Don Bacon,references,US Representative Don Bacon (NE-02)
95,Don Bacon,references,US Representative Don Bacon (NE-02)
96,Don Bacon,references,US Representative Don Bacon (NE-02)
97,Don Bacon,references,US Representative Don Bacon (NE-02)
98,Ruben Gallego,references,US Representative Ruben Gallego (AZ-7)
98,Don Bacon,references,US Representative Don Bacon (NE-02)
99,Don Bacon,references,US Representative Don Bacon (NE-02)
99,Deb Fischer,references,US Senator Deb Fischer (NE)
100,Don Bacon,references,US Representative Don Bacon (NE-02)
101,Don Bacon,references,US Representative Don Bacon (NE-02)
102,Joe Biden,references,US President Joe Biden
102,Don Bacon,references,US Representative Don Bacon (NE-02)
103,Don Bacon,references,US Representative Don Bacon (NE-02)
104,Don Bacon,references,US Representative Don Bacon (NE-02)
105,Don Bacon,references,US Representative Don Bacon (NE-02)
106,Don Bacon,references,US Representative Don Bacon (NE-02)
110,Eric Holcomb,references,"US governor of Indiana, Eric Holcomb"
112,Joe Biden,references,US President Joe Biden
119,Jim Banks,references,US Representative Jim Banks (IN-03)
120,Jim Banks,references,US Representative Jim Banks (IN-03)
121,Jim Banks,references,US Representative Jim Banks (IN-03)
122,Jim Banks,references,US Representative Jim Banks (IN-03)
123,Jim Banks,references,US Representative Jim Banks (IN-03)
124,Jim Banks,references,US Representative Jim Banks (IN-03)
125,Jim Banks,references,US Representative Jim Banks (IN-03)
126,Mike Rogers,references,US Representative Mike Rogers (AL-3)
126,Jim Banks,references,US Representative Jim Banks (IN-03)
126,Donald Trump Jr.,references,Donald Trump Jr.
127,Mike Rogers,references,US Representative Mike Rogers (AL-3)
127,Jim Banks,references,US Representative Jim Banks (IN-03)
128,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
129,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
130,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
131,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
132,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
133,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
134,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
135,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
136,Joe Biden,references,US President Joe Biden
136,"Garland ""Andy"" Barr",references,"US Representative Garland ""Andy"" Barr (KY-06)"
137,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
138,Ruben Gallego,references,US Representative Ruben Gallego (AZ-7)
138,Salud Carbajal,references,US Representative Salud Carbajal (CA-24)
138,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
139,Joe Biden,references,US President Joe Biden
139,Nancy Pelosi,references,US House of Representatives Minority Leader Nancy Pelosi (CA-12)
139,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
140,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
141,Joe Biden,references,US President Joe Biden
141,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
142,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
143,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
144,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
145,Joe Biden,references,US President Joe Biden
145,Nancy Pelosi,references,US House of Representatives Minority Leader Nancy Pelosi (CA-12)
145,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
146,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
147,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
148,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
148,Darin LaHood,references,US Representative Darin LaHood (IL-18)
148,Fred Upton,references,US Representative Fred Upton (MI-06)
148,Paul D. Tonko,references,US Representative Paul D. Tonko (NY-20)
149,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
150,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
151,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
152,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
153,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
154,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
155,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
156,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
157,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
158,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
159,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
160,Joyce Beatty,references,US Representative Joyce Beatty (OH-03)
161,Cliff Bentz,references,
162,Cliff Bentz,references,
163,Cliff Bentz,references,
164,Cliff Bentz,references,
165,Cliff Bentz,references,
166,Cliff Bentz,references,
167,Joe Biden,references,US President Joe Biden
167,Cliff Bentz,references,
168,Joe Biden,references,US President Joe Biden
168,Cliff Bentz,references,
169,Ami Bera,references,US Representative Ami Bera (CA-7)
170,Ami Bera,references,US Representative Ami Bera (CA-7)
171,Ami Bera,references,US Representative Ami Bera (CA-7)
172,Ami Bera,references,US Representative Ami Bera (CA-7)
173,Ami Bera,references,US Representative Ami Bera (CA-7)
173,Thierry Henry,references,
174,Ami Bera,references,US Representative Ami Bera (CA-7)
175,Ami Bera,references,US Representative Ami Bera (CA-7)
176,Ami Bera,references,US Representative Ami Bera (CA-7)
177,Jack Bergman,references,US Representative Jack Bergman (MI-01)
178,Don Beyer,references,US Representative Don Beyer (VA-08)
179,Don Beyer,references,US Representative Don Beyer (VA-08)
180,Don Beyer,references,US Representative Don Beyer (VA-08)
181,Joe Biden,references,US President Joe Biden
181,Nancy Pelosi,references,US House of Representatives Minority Leader Nancy Pelosi (CA-12)
181,Don Beyer,references,US Representative Don Beyer (VA-08)
182,Joe Biden,references,US President Joe Biden
182,Don Beyer,references,US Representative Don Beyer (VA-08)
183,Don Beyer,references,US Representative Don Beyer (VA-08)
184,Joe Biden,references,US President Joe Biden
184,Don Beyer,references,US Representative Don Beyer (VA-08)
185,Don Beyer,references,US Representative Don Beyer (VA-08)
186,Don Beyer,references,US Representative Don Beyer (VA-08)
187,Joe Biden,references,US President Joe Biden
187,Don Beyer,references,US Representative Don Beyer (VA-08)
188,Kamala Harris,references,US Senator Kamala Harris (CA)
188,Don Beyer,references,US Representative Don Beyer (VA-08)
189,Don Beyer,references,US Representative Don Beyer (VA-08)
190,Don Beyer,references,US Representative Don Beyer (VA-08)
191,Don Beyer,references,US Representative Don Beyer (VA-08)
192,Don Beyer,references,US Representative Don Beyer (VA-08)
193,Don Beyer,references,US Representative Don Beyer (VA-08)
194,Don Beyer,references,US Representative Don Beyer (VA-08)
195,Don Beyer,references,US Representative Don Beyer (VA-08)
196,Don Beyer,references,US Representative Don Beyer (VA-08)
197,Joe Biden,references,US President Joe Biden
197,Don Beyer,references,US Representative Don Beyer (VA-08)
198,Don Beyer,references,US Representative Don Beyer (VA-08)
199,Joe Biden,references,US President Joe Biden
199,Don Beyer,references,US Representative Don Beyer (VA-08)
200,Don Beyer,references,US Representative Don Beyer (VA-08)
200,Vladimir Putin,references,President of Russia Vladimir Putin
201,Don Beyer,references,US Representative Don Beyer (VA-08)
202,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
202,Nancy Pelosi,references,US House of Representatives Minority Leader Nancy Pelosi (CA-12)
202,Don Beyer,references,US Representative Don Beyer (VA-08)
203,Don Beyer,references,US Representative Don Beyer (VA-08)
204,Don Beyer,references,US Representative Don Beyer (VA-08)
205,Don Beyer,references,US Representative Don Beyer (VA-08)
206,Don Beyer,references,US Representative Don Beyer (VA-08)
207,Don Beyer,references,US Representative Don Beyer (VA-08)
207,V (BTS),references,V (뷔) - member of BTS
208,Don Beyer,references,US Representative Don Beyer (VA-08)
209,Don Beyer,references,US Representative Don Beyer (VA-08)
210,Don Beyer,references,US Representative Don Beyer (VA-08)
211,Don Beyer,references,US Representative Don Beyer (VA-08)
211,V (BTS),references,V (뷔) - member of BTS
212,Don Beyer,references,US Representative Don Beyer (VA-08)
213,Don Beyer,references,US Representative Don Beyer (VA-08)
214,Don Beyer,references,US Representative Don Beyer (VA-08)
215,Don Beyer,references,US Representative Don Beyer (VA-08)
216,Don Beyer,references,US Representative Don Beyer (VA-08)
217,Don Beyer,references,US Representative Don Beyer (VA-08)
218,Don Beyer,references,US Representative Don Beyer (VA-08)
219,Don Beyer,references,US Representative Don Beyer (VA-08)
220,Don Beyer,references,US Representative Don Beyer (VA-08)
220,Nikema Williams,references,
221,Don Beyer,references,US Representative Don Beyer (VA-08)
222,Don Beyer,references,US Representative Don Beyer (VA-08)
223,Don Beyer,references,US Representative Don Beyer (VA-08)
224,Donald Trump,references,"45th US President, Donald Trump"
224,Don Beyer,references,US Representative Don Beyer (VA-08)
225,James E. Clyburn,references,US Representative James E. Clyburn (SC-06)
225,Don Beyer,references,US Representative Don Beyer (VA-08)
226,Don Beyer,references,US Representative Don Beyer (VA-08)
227,Don Beyer,references,US Representative Don Beyer (VA-08)
228,Don Beyer,references,US Representative Don Beyer (VA-08)
229,Don Beyer,references,US Representative Don Beyer (VA-08)
230,Don Beyer,references,US Representative Don Beyer (VA-08)
231,Mark Takano,references,US Representative Mark Takano (CA-41)
231,Don Beyer,references,US Representative Don Beyer (VA-08)
232,Kevin McCarthy,references,US Representative Kevin McCarthy (CA-23)
232,Don Beyer,references,US Representative Don Beyer (VA-08)
233,Joe Biden,references,US President Joe Biden
233,Don Beyer,references,US Representative Don Beyer (VA-08)
234,Don Beyer,references,US Representative Don Beyer (VA-08)
235,Bill Pascrell Jr.,references,US Representative Bill Pascrell Jr. (NJ-09)
235,Don Beyer,references,US Representative Don Beyer (VA-08)
236,Don Beyer,references,US Representative Don Beyer (VA-08)
237,Don Beyer,references,US Representative Don Beyer (VA-08)
238,Joe Biden,references,US President Joe Biden
238,Don Beyer,references,US Representative Don Beyer (VA-08)
239,Don Beyer,references,US Representative Don Beyer (VA-08)
240,Don Beyer,references,US Representative Don Beyer (VA-08)
241,Don Beyer,references,US Representative Don Beyer (VA-08)
242,Don Beyer,references,US Representative Don Beyer (VA-08)
243,Joe Biden,references,US President Joe Biden
243,Don Beyer,references,US Representative Don Beyer (VA-08)
244,Elizabeth Warren,references,US Senator Elizabeth Warren (MA)
244,Don Beyer,references,US Representative Don Beyer (VA-08)
245,Joe Biden,references,US President Joe Biden
245,Don Beyer,references,US Representative Don Beyer (VA-08)
245,Karine Jean-Pierre,references,
246,Stephanie Bice,references,
247,Stephanie Bice,references,
248,Stephanie Bice,references,
249,Stephanie Bice,references,
250,Stephanie Bice,references,
251,Stephanie Bice,references,
252,Joe Biden,references,US President Joe Biden
252,Stephanie Bice,references,
253,Stephanie Bice,references,
254,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
255,Joe Biden,references,US President Joe Biden
255,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
256,Joe Biden,references,US President Joe Biden
256,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
257,Joe Biden,references,US President Joe Biden
257,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
258,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
259,Joe Biden,references,US President Joe Biden
259,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
260,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
261,Joe Biden,references,US President Joe Biden
261,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
262,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
263,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
264,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
265,Joe Biden,references,US President Joe Biden
265,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
265,Chip Roy,references,"Candidate for Representative from Texas, Chip Roy"
266,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
267,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
268,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
269,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
270,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
270,Kevin McCarthy,references,US Representative Kevin McCarthy (CA-23)
271,Joe Biden,references,US President Joe Biden
271,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
272,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
273,Joe Biden,references,US President Joe Biden
273,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
274,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
275,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
276,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
277,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
278,Joe Biden,references,US President Joe Biden
278,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
279,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
280,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
281,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
282,Joe Biden,references,US President Joe Biden
282,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
283,Joe Biden,references,US President Joe Biden
283,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
284,Joe Biden,references,US President Joe Biden
284,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
285,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
286,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
287,Joe Biden,references,US President Joe Biden
287,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
288,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
288,Jim Jordan,references,US Representative Jim Jordan (OH-04)
289,Joe Biden,references,US President Joe Biden
289,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
290,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
291,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
292,Joe Biden,references,US President Joe Biden
292,Andy Biggs,references,US Representative Andy Biggs (AZ-5)
293,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
294,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
295,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
296,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
297,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
298,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
299,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
300,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
301,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
302,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
303,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
304,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
305,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
306,Joe Biden,references,US President Joe Biden
306,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
307,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
308,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
309,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
310,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
311,Ron DeSantis,references,US Representative Ron DeSantis (FL-06)
311,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
312,Ron DeSantis,references,US Representative Ron DeSantis (FL-06)
312,Gus M. Bilirakis,references,US Representative Gus M. Bilirakis (FL-12)
313,Joe Biden,references,US President Joe Biden
313,Dan Bishop,references,
314,Dan Bishop,references,
315,Dan Bishop,references,
316,Dan Bishop,references,
317,Dan Bishop,references,
318,Joe Biden,references,US President Joe Biden
318,Dan Bishop,references,
319,Dan Bishop,references,
320,Dan Bishop,references,
321,Sanford D. Bishop Jr.,references,US Representative Sanford D. Bishop Jr. (GA-02)
322,Sanford D. Bishop Jr.,references,US Representative Sanford D. Bishop Jr. (GA-02)
323,Sanford D. Bishop Jr.,references,US Representative Sanford D. Bishop Jr. (GA-02)
324,Sanford D. Bishop Jr.,references,US Representative Sanford D. Bishop Jr. (GA-02)
325,Lisa Blunt Rochester,references,US Representative Lisa Blunt Rochester (DE At-Large)
326,Lisa Blunt Rochester,references,US Representative Lisa Blunt Rochester (DE At-Large)
327,Lisa Blunt Rochester,references,US Representative Lisa Blunt Rochester (DE At-Large)
328,Lisa Blunt Rochester,references,US Representative Lisa Blunt Rochester (DE At-Large)
329,Lisa Blunt Rochester,references,US Representative Lisa Blunt Rochester (DE At-Large)
330,Lisa Blunt Rochester,references,US Representative Lisa Blunt Rochester (DE At-Large)
334,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
335,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
336,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
337,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
338,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
339,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
340,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
341,Jackie Speier,references,US Representative Jackie Speier (CA-14)
341,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
342,Nanette Barragan,references,US Representative Nanette Barragan (CA-44)
342,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
343,Frank Pallone Jr.,references,US Representative Frank Pallone Jr. (NJ-06)
343,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
344,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
345,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
346,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
347,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
348,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
349,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
350,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
351,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
352,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
353,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
354,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
355,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
356,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
357,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
358,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
359,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
360,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
361,Jared Huffman,references,US Representative Jared Huffman (CA-2)
361,Nancy Pelosi,references,US House of Representatives Minority Leader Nancy Pelosi (CA-12)
361,Kathy Castor,references,US Representative Kathy Castor (FL-14)
361,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
362,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
363,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
364,Bonnie Watson Coleman,references,US Representative Bonnie Watson Coleman (NJ-12)
364,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
365,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
366,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
367,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
368,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
369,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
370,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
370,Dennis Richardson,references,"Oregon Secretary of State, Dennis Richardson"
371,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
372,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
373,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
374,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
375,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
376,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
377,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
378,Suzanne Bonamici,references,US Representative Suzanne Bonamici (OR-01)
379,Mike Bost,references,US Representative Mike Bost (IL-12)
380,Mike Bost,references,US Representative Mike Bost (IL-12)
381,Mike Bost,references,US Representative Mike Bost (IL-12)
386,Jamaal Bowman,references,
387,Brendan Boyle,references,US Representative Brendan Boyle (PA-13)
388,Brendan Boyle,references,US Representative Brendan Boyle (PA-13)
389,Brendan Boyle,references,US Representative Brendan Boyle (PA-13)
390,Brendan Boyle,references,US Representative Brendan Boyle (PA-13)
391,Kevin Brady,references,US Representative Kevin Brady (TX-08)
392,Joe Biden,references,US President Joe Biden
392,Kevin Brady,references,US Representative Kevin Brady (TX-08)
393,Kevin Brady,references,US Representative Kevin Brady (TX-08)
394,Kevin Brady,references,US Representative Kevin Brady (TX-08)
395,Justin Verlander,references,
395,Dusty Baker ,references,
395,Kevin Brady,references,US Representative Kevin Brady (TX-08)
396,Kevin Brady,references,US Representative Kevin Brady (TX-08)
397,Kevin Brady,references,US Representative Kevin Brady (TX-08)
398,Joe Biden,references,US President Joe Biden
398,Kevin Brady,references,US Representative Kevin Brady (TX-08)
399,Joe Biden,references,US President Joe Biden
399,Kevin Brady,references,US Representative Kevin Brady (TX-08)
400,Joe Biden,references,US President Joe Biden
400,Kevin Brady,references,US Representative Kevin Brady (TX-08)
401,Joe Biden,references,US President Joe Biden
401,Kevin Brady,references,US Representative Kevin Brady (TX-08)
402,Kevin Brady,references,US Representative Kevin Brady (TX-08)
403,Mo Brooks,references,US Representative Mo Brooks (AL-5)
404,Mo Brooks,references,US Representative Mo Brooks (AL-5)
405,Donald Trump,references,"45th US President, Donald Trump"
405,Ron DeSantis,references,US Representative Ron DeSantis (FL-06)
405,Mo Brooks,references,US Representative Mo Brooks (AL-5)
406,Anthony Brown,references,US Representative Anthony Brown (MD-04)
407,Anthony Brown,references,US Representative Anthony Brown (MD-04)
407,Nikema Williams,references,
408,Joe Biden,references,US President Joe Biden
408,Shontel Brown,references,
409,Shontel Brown,references,
410,Shontel Brown,references,
411,Shontel Brown,references,
412,Shontel Brown,references,
413,Shontel Brown,references,
414,Shontel Brown,references,
